ID,Teff,logg,FeH,L,eTeff,elogg,eFeH,eL,M,R,eM,eR
KIC8610483_A,-1.1780710335446543,-0.3750884620565015,-0.8916902757178043,-0.7413948512864017,0.40447058120278145,0.021094147682478057,1.230395403158488,0.08124648803217353,-1.6616950301565165,-0.29993159519487983,0.12042593060464962,0.02415746484343465
WZ_Oph B,-0.05903575888362542,0.42121561295704407,-0.9901219079704835,-0.5264978904413028,0.26964705413518764,0.042188295364956115,0.3445107128843767,0.07352807166911704,0.1446939289132275,-0.4013929475373054,0.03612777918139489,0.028988957812121578
KIC11922782_B,-0.7390856294125682,1.908353024571747,-0.7588075721766877,-1.2421819542191128,0.33058728836974005,0.3375063629196489,0.05905897935160743,0.0413463377595731,-2.1674839386960456,-1.7783684436130804,0.03612777918139489,0.15219202851363828
KIC8408931,0.3103807052815817,-2.3421177334475813,-0.2715709925259264,3.1706235474627538,0.3235764649622252,0.06378835453837688,0.4970797428760292,0.416492820269776,1.7885078816666957,3.094192215307688,0.44717401340021695,0.12864842417784716
KIC9446628,0.434418350183768,-0.9288098387215526,-0.9802787447452156,0.6060781527271962,0.1590917619397607,0.1569933365123398,0.4970797428760292,0.1786158187931814,0.10254485320160074,0.7436708860414968,0.44432076182640096,0.2153999144891608
EPIC206088888,-0.4635063400864069,0.5319598882900534,0.24027349518800456,-0.6877721691851671,0.19144940843598324,0.06328244304743416,0.3937265290107162,0.07298731251276981,-0.6982875853193193,-0.6888667791741777,0.36127779181394887,0.07247239453030394
GX_Gem A,0.15398541388317283,-1.340145718529874,-0.2518846660753906,1.3685764429091447,0.26964705413518764,0.021094147682478057,0.49215816126339523,0.2018975227599512,1.7584013990155325,1.809015085636965,0.06623426183255729,0.028988957812121578
EPIC211770390_B,-2.138796522722914,-1.9571495382423572,0.506038902270238,-0.3595363575351862,0.6479079416760288,0.8068511488547856,0.3297459680464748,1.1760429142657118,-2.028994118500698,0.9973242668975605,0.18063889590697443,0.8020278328020303
KIC7622208,1.264931276920146,-0.7020477511349128,0.3387051274406836,1.0785264806342854,0.2669505835938358,0.07119274842836344,0.7382372418950928,0.25055898272165966,1.1683143390527488,0.8088960411187701,0.9031944795348722,0.2053384511691945
KIC8494142,0.019161886815579003,-0.543841643516326,0.6241568609734528,0.4033681650869231,0.2858258773832989,0.02636768460309757,0.3549002996297688,0.10196434248037778,1.3369106418992585,0.729176407135436,0.1475217649906958,0.028988957812121578
KIC11971746,-0.4985604571239813,0.3895743914333258,1.224589817714795,-0.6260248382807154,0.20223529060139073,0.10283396995208052,0.7382372418950928,0.0763113862323173,-0.5176486894123448,-0.5680794549570044,0.8128750315813851,0.1570235214823252
V568_Lyr A,-1.27244750249197,0.1944535253704042,1.7167479789781903,-0.8181727824768057,0.26964705413518764,0.05273536920619514,0.24607908063169762,0.05809123894300407,-0.7283940679704825,-0.44729213073983154,0.048170372241859855,0.03865194374949543
KIC5084157,-0.9003345677854109,0.31574487454465133,0.9539028290199276,-0.5988072647899372,0.22380705493220576,0.05895993577507918,0.49215816126339523,0.08004312233021503,-0.5658190616542046,-0.5004385533953878,0.4692737522565093,0.1134820923540397
HIP93427,-0.32598634247746117,0.8378250296859843,0.09262604680898599,-0.7629251706149277,0.16987764410516823,0.05273536920619514,0.09843163225267905,0.0012186973204826028,0.3554393074713638,-0.72510297643933,0.475682425888366,0.06522515507727354
KIC10024648,0.7337265802738263,-0.7758772680235849,0.3091756377648799,0.8327558543369603,0.42334587499224463,0.08035107587308422,0.49215816126339523,0.2040975354745084,1.4934643516853032,1.0021557598662474,0.6773595723076148,0.13365838041806496
KIC8524425,-1.2832333846573774,-1.0079128925308438,1.0021343288237403,-0.3224595227217037,0.4503105804057634,0.05273536920619514,0.024115749901906364,0.14606899850864316,-0.7585005506216442,0.5431639278409893,0.12042593060464962,0.02415746484343465
KIC10398597,0.7418159918978819,-0.7916978787854441,0.8899222680556862,1.195521423400615,0.17527058518787197,0.1275498404061432,0.49215816126339523,0.23051070089295053,1.6500180614713478,1.0383919571313998,0.5734524846678944,0.1814610124109855
EF_Aqr B,-2.5667533623408705,1.6446761785407724,0.3387051274406836,-1.3129638945927424,0.2966117595487064,0.05800890612681465,0.49215816126339523,0.023155249089169456,-1.5051413203704724,-1.5198835697883297,0.03612777918139489,0.028988957812121578
TIC431925451_A,2.2976794942579146,0.5741481836550095,-0.6456111950861069,0.37168203475437567,0.3532376409170958,0.2636768460309757,0.09843163225267905,0.11983856984745594,1.3850810141411185,-0.23470644011760647,0.475682425888366,0.2174171835909118
KIC10324098,0.6285642291611031,-1.2083072955143865,-0.2420415028501227,1.2337072727757368,0.1833599968119276,0.08589126391455792,0.4970797428760292,0.248213775220805,0.7829513611178711,1.2678878731440282,0.7423400677340538,0.1717560275131081
KIC9702369,0.7930489321835675,0.6585247743849219,0.48635257581970215,-0.62358744363975,0.13482352706759382,0.035375961465047505,0.49215816126339523,0.08201137821896315,0.5119930172574085,-0.49802280691104406,0.295987714437056,0.0444129579874421
UCAC4_473-001351_B,-0.04628145322303222,-1.4983518261484583,0.7275100748387658,0.26606160031255016,0.7957014920475252,0.6644656519980587,0.11811795870321486,1.4604056223783193,-1.5894394717937266,0.7170976747137183,0.13848982019534706,0.577363409758088
BN_Scl_A,0.4656165143472084,-0.4330973681833168,-0.7932586434651254,0.40011830556563616,0.05104418734779102,0.01582061076185854,0.2952948967580371,0.052810217220912795,1.2706763800667018,0.6011418434652325,0.006021296530232482,0.007247239453030394
ASASSN-V_J010440.99+051109.8_A,-2.4932745400890317,2.725751247267773,-0.02549191189422882,-1.4076160531502246,0.08380630442521632,0.2689503829515952,0.14272586676638463,0.06702835262654316,-2.318016351951857,-2.0489320498595482,0.012042593060464964,0.17151800038838597
EPIC204356572,0.48295481992810174,0.08370925003739488,-0.005805585443693063,-0.1637323213776479,0.21032470222544636,0.07910305380929271,0.3937265290107162,0.12075967225055258,-0.09615793229607199,-0.20571748230548487,0.4214907571162737,0.0966298593737386
KIC9073645,0.8119242259730307,-1.60909610148147,-0.4093752776796771,1.840618538376073,0.1725741146465201,0.11273534138568506,0.49215816126339523,0.30100009744335504,1.0659522980387972,1.8283410575117125,0.4458374120177324,0.20209333422546594
KIC9098294,-0.614508690402112,0.8905603988921783,-0.51272849154499,-0.9739832349005063,0.46379293311252273,0.05273536920619514,0.08858846902741113,0.07057273066694672,-1.360630203644893,-1.0753862166691324,0.18063889590697443,0.0483149296868693
KIC10019747,-0.9920145661913746,-0.5122004219926125,1.34270777641801,-0.4485012619304161,0.17527058518787197,0.05605846740257584,0.49215816126339523,0.09418979007511277,-0.16841349065886183,0.277431814563208,0.32092291193591754,0.07248689867219593
KIC10655953,1.2325736304239234,1.0118517480664302,-0.020570330281594863,-0.6191188867979805,0.16448470302246446,0.06779390378442342,0.4872365796507613,0.0784725172213294,0.39758838318299194,-0.7685864131575124,0.296524555171802,0.06392768662949048
KIC8491374,1.0330348103638847,-0.8075184895473032,0.3387051274406836,0.7555716907063953,0.17527058518787197,0.12129134917424882,0.615197701579244,0.19351041164570276,1.108101373750424,0.8813684356490741,0.9935139274883594,0.22949591601262914
Tyc_5227-1023-1_A,0.5835601358259414,-0.05867624681933271,-2.761891288518706,-0.4042219259528816,0.23985105465324943,0.05273536920619514,0.5413739773897347,0.14827484065871668,-1.4449283550681478,-0.47628108855195317,0.04214907571162737,0.009662985937373858
*_16_Cyg_B,-0.8895486856200033,1.101501875716959,0.6832158403250603,-1.0391632299243176,0.09707293948866755,0.05273536920619514,0.049215816126339525,0.0008124648803217353,-1.0113950048914087,-1.1406113717464057,0.2589157507999967,0.0338204507808085
