ID,Seq,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,FeH,eFeH1,eFeH2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logTeff,elogTeff1,elogTeff2,logL,elogL1,elogL2,eTeff,elogg,eFeH,elogL,eM,eR
EPIC201367904,292,1.3,0.05,0.05,2.08,0.05,0.05,6251,78,78,6.664,0.597819169052716,0.597819169052716,-0.02,0.08,0.08,3.916,0.013,0.013,0.144876074142461,0.0071017683403167,0.0071017683403167,3.6965857,ms,F,,lund16,3.84615384615385,2.40384615384615,1.24780035194369,8.97087588614519,A,3.7959494989028033,0.0053855967717431,0.0054532219356939,0.8237349883987312,0.0373104416834625,0.0408196360488778,78.0,0.013,0.08,0.039065038866170146,0.05,0.05
EPIC201820830,293,1.29,0.08,0.08,1.74,0.05,0.05,6420,71,71,4.555,0.353974438320162,0.353974438320162,-0.07,0.11,0.11,4.063,0.016,0.016,0.243590654072864,0.0120730061785385,0.0120730061785385,3.5858062,ms,F,,lund16,6.2015503875969,2.8735632183908,1.10591900311526,7.77111829462485,A,3.807535028068853,0.0047765810622708,0.004829700994501,0.658488381309017,0.0325023893678733,0.0351330572424061,71.0,0.016,0.11,0.0338177233051397,0.08,0.05
EPIC201860743,294,1.14,0.05,0.05,1.88,0.03,0.03,5926,78,78,4.119,0.374560308738028,0.374560308738028,-0.02,0.11,0.11,3.945,0.014,0.014,0.170442440167602,0.00852212200838,0.00852212200838,3.9096232,ms,G,,lund16,4.3859649122807,1.59574468085106,1.31623354708066,9.09347678412305,A,3.772761647144032,0.0056790364272005,0.0057542831942281,0.6147917919564175,0.0377987828398809,0.0414049518163938,78.0,0.014,0.11,0.03960186732813735,0.05,0.03
EPIC204356572,295,1.18,0.07,0.07,1.5,0.04,0.04,6316,78,78,3.422,0.297267427373032,0.297267427373032,-0.07,0.08,0.08,4.157,0.015,0.015,0.350117179177615,0.0170442440167602,0.0170442440167602,3.6539782,ms,F,,lund16,5.93220338983051,2.66666666666667,1.23495883470551,8.68694995245564,A,3.800442121336257,0.0053305105994128,0.0053967509151315,0.5342800052050815,0.0361774014563424,0.0394671506297039,78.0,0.015,0.08,0.03782227604302315,0.07,0.04
EPIC204506926,296,1.08,0.05,0.05,1.41,0.02,0.02,5705,78,78,2.374,0.207373528160854,0.207373528160854,0.38,0.08,0.08,4.172,0.013,0.013,0.385626020879199,0.0170442440167602,0.0170442440167602,4.0544887,ms,G,,lund16,4.62962962962963,1.41843971631206,1.36722173531989,8.73519495201577,A,3.756255648754233,0.0058975435493611,0.0059787336002408,0.3754807146185724,0.0363701374579256,0.0396966695663251,78.0,0.013,0.08,0.03803340351212535,0.05,0.02
EPIC204550630,297,1.17,0.04,0.04,1.37,0.03,0.03,6199,65,65,3.635,0.304111216365601,0.304111216365601,-0.13,0.08,0.08,4.228,0.014,0.014,0.450252112776081,0.0213053050209502,0.0213053050209502,3.7306717,ms,F,,lund16,3.41880341880342,2.18978102189781,1.04855621874496,8.36619577346908,A,3.7923216363515735,0.0045301126983137,0.0045778647051069,0.5605044151950566,0.0348938276024106,0.0379442830923618,65.0,0.014,0.08,0.0364190553473862,0.04,0.03
EPIC204624076,298,1.22,0.05,0.05,1.83,0.04,0.04,6381,71,71,6.112,0.478281180350465,0.478281180350465,-0.13,0.11,0.11,4.0,0.014,0.014,0.1995596903629,0.00852212200838,0.00852212200838,3.6113707,ms,F,,lund16,4.09836065573771,2.18579234972678,1.11267826359505,7.82528109212148,A,3.8048887446223913,0.0048056140945327,0.004859385378257,0.7861833455676335,0.0327205989914013,0.0353881781258968,71.0,0.014,0.11,0.03405438855864905,0.05,0.04
EPIC204926239,299,1.44,0.05,0.05,2.45,0.05,0.05,6225,71,71,6.714,0.596776978402461,0.596776978402461,0.1,0.08,0.08,3.817,0.012,0.012,0.0972942262623393,0.00426106100419,0.00426106100419,3.7136287,ms,F,,lund16,3.47222222222222,2.04081632653061,1.14056224899598,8.88854599944089,A,3.794139355767774,0.0049253635832342,0.0049818638563343,0.8269813369119937,0.0369821986643263,0.0404270226258098,71.0,0.012,0.08,0.038704610645068055,0.05,0.05
EPIC205962429,301,1.15,0.04,0.04,1.79,0.04,0.04,6082,65,65,4.372,0.372936224763376,0.372936224763376,-0.24,0.08,0.08,3.99,0.012,0.012,0.1995596903629,0.0078119451743484,0.0078119451743484,3.8073652,ms,F,,lund16,3.47826086956522,2.23463687150838,1.06872739230516,8.530105781413,A,3.784046415808113,0.0046167973127442,0.0046664043164574,0.6406801532776651,0.0355502263055658,0.0387218231595235,65.0,0.012,0.08,0.037136024732544654,0.04,0.04
EPIC205974115,303,1.15,0.04,0.04,1.36,0.03,0.03,6121,71,71,3.386,0.460929317911396,0.460929317911396,-0.07,0.08,0.08,4.23,0.012,0.012,0.455223350614303,0.0177544208507919,0.0177544208507919,3.7818007,ms,F,,lund16,3.47826086956522,2.20588235294118,1.15994118608071,13.6127973393797,A,3.786822379499188,0.0050085681756484,0.0050670048467185,0.5296869537729164,0.0554272530373941,0.0635505888350028,71.0,0.012,0.08,0.059488920936198446,0.04,0.03
EPIC205995584,305,1.31,0.07,0.07,1.71,0.04,0.04,6433,71,71,4.784,0.38291610691645,0.38291610691645,-0.07,0.08,0.08,4.082,0.013,0.013,0.257794190753498,0.0113628293445068,0.0113628293445068,3.5772847,ms,F,,lund16,5.34351145038168,2.33918128654971,1.10368412871133,8.00409922484219,A,3.808413551400368,0.0047669811856434,0.0048198866290238,0.6797911709803545,0.033440239162358,0.0362315238543555,71.0,0.013,0.08,0.034835881508356745,0.07,0.04
EPIC206009487,306,1.03,0.05,0.05,1.49,0.04,0.04,5926,71,71,1.949,0.164977135740432,0.164977135740432,-0.24,0.08,0.08,4.101,0.012,0.012,0.30963709963781,0.0127831830125701,0.0127831830125701,3.9096232,ms,G,,lund16,4.85436893203883,2.68456375838926,1.1981100236247,8.4647068106943,A,3.772761647144032,0.0051724016937471,0.00523474773565,0.2898118391176214,0.0352884466563109,0.0384114230695956,71.0,0.012,0.08,0.03684993486295325,0.05,0.04
