ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,eTeff,elogg,eFeH,eL,eM,eR,elogL,percent_eM,percent_eR
KIC3967430,1.36,0.09,0.12,1.47,0.04,0.05,6622.0,53.0,53.0,0.0,0.15,0.15,,,,,4.236,0.014,0.014,,3.565,0.281704946,0.281704946,,ms,F,,,,,,C14sdss,A,1,0.5520595341878843,0.033029341685264724,0.03574962173992946,53.0,0.014,0.15,0.281704946,0.105,0.045,0.03438948171259709,7.720588235294117,3.061224489795918
KIC4646780,1.43,0.15,0.1,1.92,0.08,0.07,6856.0,138.0,138.0,-0.12,0.15,0.15,,,,,4.029,0.019,0.019,,6.537,0.540582863,0.540582863,,ms,F,,,,,,C14sdss,A,1,0.815378484965918,0.03450647773854709,0.03748664831535997,138.0,0.019,0.15,0.540582863,0.125,0.07500000000000001,0.03599656302695353,8.741258741258742,3.9062500000000004
KIC4931390,1.37,0.1,0.1,1.41,0.04,0.04,6557.0,51.0,51.0,-0.06,0.15,0.15,,,,,4.274,0.012,0.012,,3.532,0.310919875,0.310919875,,ms,F,,,,,,C14sdss,A,1,0.548020694905531,0.036640634599637956,0.040019166791037564,51.0,0.012,0.15,0.310919875,0.1,0.04,0.03832990069533776,7.2992700729927,2.8368794326241136
KIC5095850,1.43,0.25,0.11,2.27,0.17,0.09,6836.0,85.0,85.0,0.1,0.15,0.15,,,,,3.885,0.018,0.021,,11.33,1.012071891,1.012071891,,ms,F,,,,,,C14sdss,A,1,1.0542299098633972,0.03715816193249322,0.04063741229755258,85.0,0.0195,0.15,1.012071891,0.18,0.13,0.0388977871150229,12.587412587412588,5.726872246696035
KIC5309966,1.34,0.08,0.13,1.64,0.05,0.06,6356.0,61.0,61.0,0.1,0.15,0.15,,,,,4.131,0.014,0.015,,4.22,0.35276565,0.35276565,,ms,F,,,,,,C14sdss,A,1,0.6253124509616739,0.034866493799770026,0.037911960339865436,61.0,0.014499999999999999,0.15,0.35276565,0.10500000000000001,0.055,0.03638922706981773,7.835820895522389,3.353658536585366
KIC5468089,1.56,0.15,0.17,2.0,0.07,0.07,6728.0,429.0,429.0,0.0,0.15,0.15,,,,,4.03,0.018,0.025,,5.431,0.46246895,0.46246895,,ms,F,,,,,,C14sdss,A,1,0.7348798027926275,0.035491196981335404,0.03865179457762913,429.0,0.0215,0.15,0.46246895,0.16,0.07,0.037071495779482266,10.256410256410255,3.5000000000000004
KIC5686856,1.14,0.14,0.11,1.78,0.09,0.08,6125.0,55.0,55.0,0.0,0.2,0.15,,,,,3.996,0.012,0.012,,2.777,0.070530711,0.070530711,,ms,F,,,,,,C14sdss,A,1,0.4435758797502576,0.01089253695027792,0.011172776345902746,55.0,0.012,0.175,0.070530711,0.125,0.08499999999999999,0.011032656648090333,10.964912280701755,4.775280898876405
KIC6064910,1.4,0.15,0.13,2.37,0.1,0.09,6508.0,75.0,75.0,-0.26,0.2,0.15,,,,,3.836,0.015,0.015,,8.907,0.767730778,0.767730778,,ms,F,,,,,,C14sdss,A,1,0.9497314523157071,0.03590743628420312,0.03914603847073295,75.0,0.015,0.175,0.767730778,0.14,0.095,0.037526737377468034,10.000000000000002,4.0084388185654
KIC6363365,1.12,0.13,0.11,1.41,0.06,0.05,6282.0,76.0,76.0,-0.58,0.15,0.1,,,,,4.188,0.016,0.016,,4.057,0.854109438,0.854109438,,ms,F,,,,,,C14sdss,A,1,0.6082050077043262,0.08297460425052183,0.10266290798258593,76.0,0.016,0.125,0.854109438,0.12,0.055,0.09281875611655388,10.714285714285714,3.900709219858156
KIC6421967,1.24,0.1,0.11,1.27,0.04,0.05,6464.0,73.0,73.0,-0.12,0.15,0.15,,,,,4.321,0.015,0.017,,2.237,0.189568099,0.189568099,,ms,F,,,,,,C14sdss,A,1,0.3496659840966297,0.03532649972896845,0.03845651835856212,73.0,0.016,0.15,0.189568099,0.10500000000000001,0.045,0.036891509043765286,8.467741935483872,3.543307086614173
