,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
41,41,5.871164970199635,2026-06-04 16:12:16.203710,2026-06-04 16:12:17.860181,0 days 00:00:01.656471,0.010723815442578844,6,2,407,0.012465834894253111,0.01172633990733405,0.7447081250344268,COMPLETE
42,42,6.254133884067157,2026-06-04 16:12:17.863180,2026-06-04 16:12:19.198920,0 days 00:00:01.335740,0.010847939484117573,6,2,296,0.005394437957149565,0.0016430557786311349,0.8792034132643777,COMPLETE
43,43,5.830557278127249,2026-06-04 16:12:19.201608,2026-06-04 16:12:21.723475,0 days 00:00:02.521867,0.012796519185784675,6,2,622,0.004184751293551161,0.001909122220005251,0.9007467596136579,COMPLETE
44,44,6.057729551375638,2026-06-04 16:12:21.726040,2026-06-04 16:12:24.425882,0 days 00:00:02.699842,0.03034754774012259,7,5,535,0.023255403668593987,0.001116839022684825,0.6846353634664641,COMPLETE
45,45,5.951342276087095,2026-06-04 16:12:24.428451,2026-06-04 16:12:25.875303,0 days 00:00:01.446852,0.010776973503066294,6,5,398,0.00595310371265164,0.002004658341501885,0.7033601177881467,COMPLETE
46,46,5.840220353413838,2026-06-04 16:12:25.877910,2026-06-04 16:12:27.787004,0 days 00:00:01.909094,0.017518568487093697,6,1,455,0.038815246321469016,0.004510780256948208,0.7952944037195092,COMPLETE
47,47,6.182321174127732,2026-06-04 16:12:27.789519,2026-06-04 16:12:31.251748,0 days 00:00:03.462229,0.09838740369991118,8,2,990,0.16088343870986035,0.8772933722940702,0.8674794038855661,COMPLETE
48,48,6.323720529521278,2026-06-04 16:12:31.254455,2026-06-04 16:12:31.978216,0 days 00:00:00.723761,0.18166027582004196,7,7,178,0.001330425570589548,4.8000497643954745,0.9152276149028791,COMPLETE
49,49,6.331050573556138,2026-06-04 16:12:31.980769,2026-06-04 16:12:32.761474,0 days 00:00:00.780705,0.11395103206416823,3,8,418,0.2363585822746884,0.7576991424627184,0.9954787821960359,COMPLETE
50,50,5.825637764552626,2026-06-04 16:12:32.763998,2026-06-04 16:12:34.284150,0 days 00:00:01.520152,0.012853739354789789,4,1,631,0.003095940733681272,0.003577506740417611,0.787609820566128,COMPLETE
51,51,5.820370578954306,2026-06-04 16:12:34.287073,2026-06-04 16:12:36.342915,0 days 00:00:02.055842,0.01252631393740968,5,1,647,0.009175658336969969,0.0042418073489178965,0.7785424518510153,COMPLETE
52,52,6.446958545591848,2026-06-04 16:12:36.345616,2026-06-04 16:12:37.008567,0 days 00:00:00.662951,0.1544787802006288,10,8,124,0.0018270544622209822,0.021042664104591755,0.6445863985305029,COMPLETE
53,53,5.815652580412251,2026-06-04 16:12:37.011398,2026-06-04 16:12:39.873454,0 days 00:00:02.862056,0.01757974377297441,6,1,675,0.0074386313981221796,0.0029968875270386906,0.6866816842485344,COMPLETE
54,54,5.918750917902308,2026-06-04 16:12:39.876149,2026-06-04 16:12:43.841885,0 days 00:00:03.965736,0.03756581521691758,6,2,975,0.021564236500643312,0.0018277739790908522,0.6963554874567044,COMPLETE
55,55,5.94282962222108,2026-06-04 16:12:43.844467,2026-06-04 16:12:47.969563,0 days 00:00:04.125096,0.023114495853123862,7,2,863,0.0033717428971766555,0.021184754383093862,0.6469047104940572,COMPLETE
56,56,8.015252244081765,2026-06-04 16:12:47.972203,2026-06-04 16:12:48.256886,0 days 00:00:00.284683,0.02024056193998788,3,5,118,0.019732403426055662,0.22260862683725685,0.8136306462782665,COMPLETE
57,57,6.814584634228171,2026-06-04 16:12:48.259598,2026-06-04 16:12:49.813768,0 days 00:00:01.554170,0.05331877066761135,10,8,660,0.9849156820006775,0.004204949024268786,0.61731949269396,COMPLETE
58,58,6.212021964613645,2026-06-04 16:12:49.817261,2026-06-04 16:12:51.577135,0 days 00:00:01.759874,0.05356085915599668,8,4,394,0.2733401564150731,0.7144720197448766,0.7773229763829873,COMPLETE
59,59,5.798678716262187,2026-06-04 16:12:51.579710,2026-06-04 16:12:54.621149,0 days 00:00:03.041439,0.010549934797679857,6,1,558,0.008937733218084935,0.001179499360916971,0.7217230721300203,COMPLETE
