ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logTeff	elogTeff1	elogTeff2
KIC3123191	1.3	0.11	0.17	1.42	0.05	0.06	6568.0	93.0	93.0	-0.1	0.15	0.1	NA	NA	NA	NA	4.243	0.02	0.022	NA	3.494	0.323861481	0.323861481	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5433229006469121	0.038497266698151456	0.042244661544927564	3.8174331441113845	0.006106289545474652	0.006193371358095057
KIC3236382	1.44	0.16	0.11	1.64	0.06	0.05	6831.0	58.0	58.0	-0.06	0.15	0.15	NA	NA	NA	NA	4.165	0.014	0.013	NA	4.73	0.3857002	0.3857002	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6748611407378116	0.034043944462714526	0.03694135247355623	3.8344842853348053	0.0036718994173425834	0.003703209728444179
KIC3344897	1.55	0.16	0.18	2.34	0.08	0.1	6630.0	83.0	83.0	-0.04	0.15	0.1	NA	NA	NA	NA	3.89	0.017	0.016	NA	8.694	0.765139525	0.765139525	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9392196358548183	0.03663199562719954	0.04000886026233463	3.821513528404773	0.00540311878014732	0.005471187482776418
KIC3534307	0.96	0.13	0.11	1.44	0.07	0.06	5781.0	59.0	59.0	-0.24	0.15	0.1	NA	NA	NA	NA	4.104	0.019	0.017	NA	2.003	0.175425643	0.175425643	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.30168094929357625	0.03646179129863891	0.03980589352532188	3.7620029693751156	0.004409877737284074	0.004455115905871665
KIC3547794	1.4	0.11	0.13	1.75	0.06	0.06	6825.0	81.0	81.0	-0.14	0.15	0.15	NA	NA	NA	NA	4.093	0.019	0.019	NA	5.785	0.49127116	0.49127116	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7623033632877684	0.03539833528993408	0.03854167156379684	3.8341026557127935	0.005123918300641961	0.00518509409610779
KIC3967430	1.36	0.09	0.12	1.47	0.04	0.05	6622.0	53.0	53.0	0.0	0.15	0.15	NA	NA	NA	NA	4.236	0.014	0.014	NA	3.565	0.281704946	0.281704946	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5520595341878843	0.033029341685264724	0.03574962173992946	3.8209891764160497	0.003462093620563156	0.003489914548291395
KIC4646780	1.43	0.15	0.1	1.92	0.08	0.07	6856.0	138.0	138.0	-0.12	0.15	0.15	NA	NA	NA	NA	4.029	0.019	0.019	NA	6.537	0.540582863	0.540582863	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.815378484965918	0.03450647773854709	0.03748664831535997	3.836070808915142	0.008654819058083962	0.008830809409496432
KIC4931390	1.37	0.1	0.1	1.41	0.04	0.04	6557.0	51.0	51.0	-0.06	0.15	0.15	NA	NA	NA	NA	4.274	0.012	0.012	NA	3.532	0.310919875	0.310919875	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.548020694905531	0.036640634599637956	0.040019166791037564	3.816705183666515	0.003364850645810602	0.00339112472068015
KIC5095850	1.43	0.25	0.11	2.27	0.17	0.09	6836.0	85.0	85.0	0.1	0.15	0.15	NA	NA	NA	NA	3.885	0.018	0.021	NA	11.33	1.012071891	1.012071891	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	1.0542299098633972	0.03715816193249322	0.04063741229755258	3.834802054048699	0.005366795192056628	0.0054339460598789024
KIC5309966	1.34	0.08	0.13	1.64	0.05	0.06	6356.0	61.0	61.0	0.1	0.15	0.15	NA	NA	NA	NA	4.131	0.014	0.015	NA	4.22	0.35276565	0.35276565	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6253124509616739	0.034866493799770026	0.037911960339865436	3.803183888535342	0.004148150755848512	0.004188154091460561
KIC5468089	1.56	0.15	0.17	2.0	0.07	0.07	6728.0	429.0	429.0	0.0	0.15	0.15	NA	NA	NA	NA	4.03	0.018	0.025	NA	5.431	0.46246895	0.46246895	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.7348798027926275	0.035491196981335404	0.03865179457762913	3.827885982789856	0.026845034424086478	0.02861437443998316
KIC5686856	1.14	0.14	0.11	1.78	0.09	0.08	6125.0	55.0	55.0	0.0	0.2	0.15	NA	NA	NA	NA	3.996	0.012	0.012	NA	2.777	0.070530711	0.070530711	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.4435758797502576	0.01089253695027792	0.011172776345902746	3.78710609303657	0.003882382052245781	0.003917401961312628
