ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2
KIC6521045	1.108	0.021	0.019	1.513	0.009	0.012	5825.0	75.0	75.0	0.102	0.072111026	0.072111026	NA	NA	NA	NA	4.125	0.004	0.004	NA	2.478	0.112	0.112	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.3941013020400447	0.019198462041207176	0.020086561748133114
KIC7670943	1.239	0.04	0.051	1.417	0.015	0.021	6463.0	110.0	110.0	-0.071	0.072111026	0.072111026	NA	NA	NA	NA	4.228	0.008	0.008	NA	3.039	0.167	0.173	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.4827307000799429	0.023232817938183103	0.025454514018617203
KIC8077137	1.117	0.04	0.049	1.632	0.018	0.009	6072.0	75.0	75.0	-0.032	0.072111026	0.072111026	NA	NA	NA	NA	4.056	0.013	0.01	NA	3.183	0.293	0.202	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.502836638621003	0.03824312915562578	0.02847466258837228
KIC8292840	1.148	0.051	0.049	1.345	0.015	0.018	6239.0	94.0	94.0	-0.164	0.072111026	0.072111026	NA	NA	NA	NA	4.24	0.008	0.008	NA	2.636	0.148	0.142	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.42094540592197227	0.02372382501655229	0.024048956779448405
KIC8349582	1.068	0.021	0.019	1.417	0.012	0.009	5699.0	74.0	74.0	0.268	0.072111026	0.072111026	NA	NA	NA	NA	4.163	0.003	0.004	NA	1.891	0.09	0.094	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.2766915288450397	0.020192946693507352	0.02214345173606591
KIC8478994	0.81	0.019	0.011	0.772	0.003	0.006	5417.0	75.0	75.0	-0.248	0.072111026	0.072111026	NA	NA	NA	NA	4.57	0.003	0.002	NA	0.467	0.023	0.025	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	-0.33068311943388784	0.02087919946240152	0.023894611217020245
KIC8494142	1.418	0.03	0.019	1.887	0.012	0.012	6144.0	106.0	106.0	0.058	0.072111026	0.072111026	NA	NA	NA	NA	4.038	0.005	0.005	NA	4.818	0.259	0.243	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.6828667956623246	0.0227403677422805	0.02247569725985754
KIC8554498	1.197	0.021	0.029	1.794	0.015	0.015	5945.0	60.0	60.0	0.17	0.05	0.05	NA	NA	NA	NA	4.007	0.003	0.003	NA	3.684	0.13	0.182	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1	0.5663196215248113	0.015061067185175525	0.022003479777383927
KIC8866102	1.228	0.042	0.04	1.357	0.012	0.015	6325.0	75.0	75.0	-0.005	0.072111026	0.072111026	NA	NA	NA	NA	4.262	0.007	0.008	NA	2.753	0.13	0.13	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.43980621139333026	0.020038430994877565	0.021007920802976643
KIC9592705	1.509	0.029	0.021	2.124	0.015	0.012	6174.0	92.0	92.0	0.216	0.072111026	0.072111026	NA	NA	NA	NA	3.961	0.004	0.003	NA	6.088	0.227	0.247	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1	0.7844746437625164	0.01589871112883312	0.01798743752282228
KIC10068307	1.469	0.0095	0.0209	2.0823	0.018	0.018	6132.0	77.0	77.0	-0.23	0.1	0.1	NA	NA	NA	NA	3.9666	0.0044	0.0044	NA	6.294	0.2	0.173	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.7989267385772014	0.013585545712781255	0.012104359078013993
KIC10516096	1.0586	0.0494	0.0608	1.3986	0.024	0.021	5964.0	77.0	77.0	-0.11	0.1	0.1	NA	NA	NA	NA	4.169	0.011	0.0099	NA	2.217	0.189	0.146	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	0.3457656931144882	0.035529929889337786	0.02958559422103557
KIC12069424	1.0491	0.019	0.0209	1.2156	0.012	0.012	5825.0	50.0	50.0	0.1	0.03	0.03	NA	NA	NA	NA	4.2867	0.0066	0.0066	NA	1.531	0.072	0.07	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	0.18497519069826102	0.019958331655883815	0.020324974763964276
KIC12069449	0.9883	0.0209	0.019	1.0957	0.009	0.009	5750.0	50.0	50.0	0.05	0.02	0.02	NA	NA	NA	NA	4.3527	0.0055	0.0066	NA	1.173	0.058	0.049	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	0.06929801211552926	0.020960040815787076	0.018531700882486936
KIC12258514	1.2581	0.0095	0.0095	1.6055	0.012	0.009	5964.0	77.0	77.0	0.0	0.1	0.1	NA	NA	NA	NA	4.1261	0.0033	0.0044	NA	3.162	0.104	0.09	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	0.4999618655961902	0.014054314804459123	0.012540654236715798
KIC3456181	1.4975	0.0304	0.019	2.1483	0.027	0.027	6384.0	77.0	77.0	-0.15	0.1	0.1	NA	NA	NA	NA	3.949	0.0088	0.0077	NA	7.215	0.243	0.295	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.858236335429513	0.014386043595775333	0.018130240972755285
KIC5184732	1.1479	0.0399	0.0589	1.3206	0.015	0.021	5846.0	77.0	77.0	0.36	0.1	0.1	NA	NA	NA	NA	4.2548	0.0077	0.0099	NA	1.806	0.128	0.128	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	0.256717745977487	0.029738723769495934	0.03192578948480551
KIC6106415	1.0681	0.0513	0.0399	1.2186	0.018	0.018	6037.0	77.0	77.0	-0.04	0.1	0.1	NA	NA	NA	NA	4.2955	0.0088	0.0088	NA	1.765	0.121	0.112	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.24674470972384135	0.028796978677468194	0.02847185615239392
KIC6225718	1.1593	0.0304	0.0304	1.2336	0.012	0.015	6313.0	76.0	76.0	-0.07	0.1	0.1	NA	NA	NA	NA	4.3186	0.0066	0.0055	NA	2.137	0.094	0.09	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.3298045221640694	0.0186950481197683	0.01868667950156372
KIC7510397	1.3683	0.0209	0.0209	1.8574	0.018	0.018	6171.0	77.0	77.0	-0.21	0.1	0.1	NA	NA	NA	NA	4.0359	0.0044	0.0066	NA	4.924	0.178	0.14	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.6923180442592788	0.015422410014492516	0.012526873278924322
KIC7940546	1.3987	0.0304	0.0114	1.9414	0.027	0.009	6235.0	77.0	77.0	-0.2	0.1	0.1	NA	NA	NA	NA	4.0073	0.0011	0.0033	NA	6.189	0.023	0.257	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.791620482692814	0.0016109643637068904	0.018419340336469636
KIC7970740	0.728	0.0304	0.0095	0.7628	0.006	0.006	5309.0	77.0	77.0	-0.54	0.1	0.1	NA	NA	NA	NA	4.5386	0.0055	0.0044	NA	0.429	0.025	0.022	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	-0.36754270781527576	0.0245985606723797	0.022862882959504227
KIC8006161	0.9788	0.0304	0.0304	0.9247	0.012	0.009	5488.0	77.0	77.0	0.34	0.1	0.1	NA	NA	NA	NA	4.4935	0.0066	0.0066	NA	0.688	0.047	0.049	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	-0.16241156176448873	0.028698900848683623	0.03208758007711118
KIC8379927	1.1194	0.0399	0.0399	1.1197	0.015	0.015	6067.0	120.0	120.0	-0.1	0.15	0.15	NA	NA	NA	NA	4.3879	0.0066	0.0077	NA	1.624	0.104	0.101	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.21058602490515654	0.02695771323771798	0.027886121569113936
KIC8760414	0.8115	0.031	0.0186	1.0196	0.0097	0.0121	5873.0	77.0	77.0	-0.92	0.1	0.1	NA	NA	NA	NA	4.3293	0.0047	0.0063	NA	1.208	0.052	0.052	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1	0.08206693428511301	0.0183036108324499	0.019109100200602788
KIC9353712	1.5089	0.0285	0.0209	2.1723	0.024	0.021	6278.0	77.0	77.0	-0.05	0.1	0.1	NA	NA	NA	NA	3.9435	0.0055	0.0066	NA	6.985	0.275	0.223	NA	MS	F	NA	NA	NA	NA	NA	silva17	A	1	0.8441664104502007	0.016770210249893114	0.014091244020450477
*_16_Cyg_A	1.076	0.047	0.047	1.225	0.016	0.016	5849.0	39.0	39.0	0.08	0.01	0.01	NA	NA	NA	NA	4.28	0.01	0.01	0.0	1.58	0.01	0.01	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.19865708695442263	0.0027400373660288746	0.0027574345451888693
*_16_Cyg_B	1.028	0.043	0.043	1.113	0.014	0.014	5807.0	36.0	36.0	0.07	0.01	0.01	NA	NA	NA	NA	4.35	0.01	0.01	0.0	1.267	0.002	0.002	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.10277661488344131	0.0006850072112634387	0.0006860893716046229
