ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logR	elogR1	elogR2
KIC10025788	0.8054	0.2313	0.2313	44.612	6.0782	6.0782	3867.1624	34.3561	34.3561	-0.2315	0.058	0.058	NA	NA	NA	NA	1.0244	0.0174	0.0174	0.0	401.02158	82.81153	102.79726	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.603167743749228	0.08152784123213319	0.12862468675457173	1.6494516935284058	0.0554723112228126	0.06360985457365342
KIC10026749	1.8692	0.3191	0.3191	53.7155	4.3259	4.3259	4031.7622	35.585	35.585	-0.0709	0.058	0.058	NA	NA	NA	NA	1.2227	0.011	0.011	0.0	686.86849	24.93208	108.84048	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.836873593632206	0.01548473781274362	0.07492470972084897	1.7300996226298166	0.033638256755140095	0.036464113749018034
KIC10026795	1.2783	0.0493	0.0493	9.5042	0.1647	0.1647	4669.4688	46.2399	46.2399	-0.1102	0.058	0.058	NA	NA	NA	NA	2.5905	0.004	0.004	0.0	38.68974	3.38677	2.01168	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.5875958112166004	0.03644389923994695	0.023189454599651826	0.9779155667346009	0.0074615018568156	0.007591940296097555
KIC10027559	1.6571	0.0642	0.0642	20.7479	0.3626	0.3626	4549.2803	48.7175	48.7175	-0.3355	0.058	0.058	NA	NA	NA	NA	2.0107	0.0041	0.0041	0.0	166.11689	7.50304	9.06404	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.22041379175832	0.019185785028116964	0.02436796991559609	1.3169741461292952	0.007524373519876004	0.007657039005045441
KIC10028634	1.4618	0.056	0.056	7.2163	0.1247	0.1247	4898.4126	47.5316	47.5316	-0.1724	0.058	0.058	NA	NA	NA	NA	2.8881	0.004	0.004	0.0	24.96	1.19	1.15	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.3972445810103864	0.020227112192906738	0.020485185605506384	0.8583145796386974	0.007440644432754273	0.007570348295254936
KIC10030646	1.5236	0.0636	0.0636	5.835	0.1089	0.1089	4790.1665	46.7835	46.7835	0.2007	0.058	0.058	NA	NA	NA	NA	3.0906	0.0043	0.0043	0.0	16.15024	0.9113	0.8621	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.2081789805309728	0.023839248136239055	0.023824329446531234	0.766040860381389	0.00803063387491254	0.00818193215704488
KIC10031856	1.532	0.0594	0.0594	15.9474	0.2773	0.2773	4468.524	40.0144	40.0144	0.0751	0.058	0.058	NA	NA	NA	NA	2.2122	0.0038	0.0038	0.0	88.51	2.64	2.55	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.9469923407483722	0.012764332242622967	0.012695933928966507	1.2026898875376977	0.00748678776219136	0.007618119575194537
KIC10033231	1.6912	0.0649	0.0649	6.4134	0.1109	0.1109	4835.053	44.711	44.711	0.2259	0.058	0.058	NA	NA	NA	NA	3.0538	0.0039	0.0039	0.0	17.93	0.29	0.35	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.2535802895621828	0.006968083074796683	0.008561418824429845	0.8070883274543217	0.00744559507778364	0.007575473105838171
KIC10053392	1.1293	0.0437	0.0437	7.2214	0.1254	0.1254	4520.7476	53.7194	53.7194	0.2879	0.058	0.058	NA	NA	NA	NA	2.7753	0.0045	0.0045	0.0	19.6	0.68	0.67	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.2922560713564761	0.014811879304822195	0.015105457392679433	0.8586214016324819	0.007476815688601035	0.007607794808811907
KIC10053414	1.3073	0.0549	0.0549	10.5651	0.198	0.198	4487.8657	45.6026	45.6026	0.3071	0.058	0.058	NA	NA	NA	NA	2.5077	0.0044	0.0044	0.0	41.22	1.48	0.8	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.615107987443194	0.015319887581829894	0.00851167826390875	1.0238736120596674	0.008063763266243473	0.008216324343269132
