ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
KIC10074716	1.217	0.074249579	0.092086915	1.465	0.046518813	0.045617979	6064.0	91.0	91.0	0.11	0.1	0.1	NA	4.189	0.019313208	0.020248457	NA	2.686	0.224793258	0.224793258	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10079226	1.147	0.047010637	0.046097722	1.158	0.017088007	0.017088007	6078.0	50.0	50.0	0.106	0.099	0.099	NA	4.37	0.007615773	0.007615773	NA	1.666	0.139281472	0.139281472	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10081026	1.354	0.078102497	0.074404301	2.341	0.092282176	0.086284413	6503.0	61.0	61.0	-0.244	0.101	0.101	NA	3.83	0.02236068	0.02236068	NA	10.56	0.96611297	0.96611297	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10118942	1.184	0.061717096	0.060959003	2.14	0.060835845	0.059933296	6362.0	61.0	61.0	-0.325	0.072111026	0.072111026	NA	3.85	0.016492423	0.016492423	NA	6.26	0.579917862	0.579917862	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10129349	1.381	0.057801384	0.057008771	1.534	0.041146081	0.039357337	6699.0	56.0	56.0	0.045	0.1	0.1	NA	4.206	0.017720045	0.017720045	NA	4.248	0.367732675	0.367732675	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10130724	0.85	0.15	0.09	1.08	0.06	0.04	5648.0	70.0	70.0	0.32	0.15	0.15	NA	4.306	0.022	0.016	NA	4.802	1.391686439	1.391686439	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1
KIC10147635	1.467	0.055470713	0.046872167	2.688	0.044654227	0.041400483	6155.0	66.0	66.0	-0.035	0.1	0.1	NA	3.746	0.006708204	0.006708204	NA	9.718	0.857439331	0.857439331	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10186764	1.305	0.062968246	0.069814039	1.709	0.065192024	0.06239391	6488.0	74.0	74.0	-0.167	0.102	0.102	NA	4.087	0.023194827	0.025179357	NA	3.867	0.346675422	0.346675422	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10202294	1.18	0.21	0.11	1.88	0.08	0.07	5803.0	66.0	66.0	0.36	0.1	0.1	NA	3.961	0.026	0.015	NA	4.243	0.366465826	0.366465826	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1
KIC10214328	1.23	0.085146932	0.063031738	1.765	0.053907328	0.051662365	6923.0	80.0	80.0	-0.584	0.102	0.102	NA	4.033	0.0234094	0.020615528	NA	6.189	0.470228183	0.470228183	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10215584	1.068	0.06060528	0.06382006	1.139	0.029068884	0.029068884	5995.0	57.0	57.0	-0.015	0.1	0.1	NA	4.352	0.017088007	0.017088007	NA	1.78	0.157131504	0.157131504	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10273246	1.287	0.050990195	0.054451814	2.147	0.029	0.032015621	6342.0	59.0	59.0	-0.262	0.1	0.1	NA	3.883	0.00781025	0.00781025	NA	6.403	0.567072116	0.567072116	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10290021	1.37	0.13	0.11	2.05	0.06	0.07	6215.0	56.0	56.0	0.06	0.15	0.1	NA	3.955	0.014	0.015	NA	6.234	0.534000492	0.534000492	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
KIC10319352	1.077	0.062201286	0.06060528	1.483	0.02884441	0.036674242	5659.0	63.0	63.0	0.197	0.099	0.099	NA	4.128	0.017464249	0.016552945	NA	2.162	0.191534916	0.191534916	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10322381	1.138	0.068796802	0.06463745	1.401	0.066098411	0.059464275	6464.0	63.0	63.0	-0.361	0.1	0.1	NA	4.199	0.028071338	0.029068884	NA	2.627	0.213321387	0.213321387	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10324098	1.326	0.172754161	0.073817342	2.11	0.081394103	0.06080296	6370.0	68.0	68.0	-0.118	0.101	0.101	NA	3.912	0.016763055	0.015811388	NA	6.862	0.611014165	0.611014165	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10351059	1.47	0.072917762	0.072249567	1.819	0.045793013	0.04494441	6530.0	58.0	58.0	0.16	0.1	0.1	NA	4.085	0.013928388	0.014866069	NA	5.568	0.459300526	0.459300526	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10385708	1.227	0.128160056	0.054561891	1.766	0.048846699	0.040706265	6036.0	55.0	55.0	0.121	0.1	0.1	NA	4.033	0.017888544	0.015264338	NA	3.7	0.318249775	0.318249775	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10398597	1.47	0.077935871	0.112538882	2.015	0.078447435	0.071784399	6412.0	65.0	65.0	0.112	0.1	0.1	NA	3.991	0.024186773	0.024186773	NA	6.768	0.567435483	0.567435483	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10462940	1.239	0.050606324	0.052201533	1.271	0.017492856	0.017492856	6265.0	48.0	48.0	0.112	0.099	0.099	NA	4.322	0.007211103	0.007211103	NA	2.189	0.183679028	0.183679028	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10491771	1.299	0.055154329	0.05375872	1.511	0.043081318	0.041231056	6601.0	48.0	48.0	-0.101	0.1	0.1	NA	4.192	0.018973666	0.018973666	NA	3.72	0.300924684	0.300924684	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10514430	1.059	0.04	0.021	1.59	0.015	0.018	5784.0	98.0	98.0	-0.114	0.072111026	0.072111026	NA	4.061	0.004	0.004	NA	2.634	0.151	0.124	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1
KIC10516096	1.0586	0.0494	0.0608	1.3986	0.024	0.021	5964.0	77.0	77.0	-0.11	0.1	0.1	NA	4.169	0.011	0.0099	NA	2.217	0.189	0.146	NA	MS	G	NA	NA	NA	NA	NA	silva17	A	1
KIC10518551	1.25	0.052325902	0.057489129	2.08	0.036619667	0.038275318	6242.0	60.0	60.0	-0.267	0.101	0.101	NA	3.898	0.008944272	0.009848858	NA	7.12	0.615406327	0.615406327	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10586004	1.178	0.021	0.03	1.653	0.009	0.012	5770.0	83.0	83.0	0.256	0.072111026	0.072111026	NA	4.071	0.005	0.005	NA	2.749	0.151	0.155	NA	MS	G	NA	NA	NA	NA	NA	silva15	A	1
KIC10610027	1.329	0.062625873	0.055154329	1.48	0.057567352	0.052810984	6704.0	58.0	58.0	-0.041	0.1	0.1	NA	4.222	0.025317978	0.026305893	NA	5.015	0.10287895	0.10287895	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10655953	1.262	0.048332184	0.050159745	1.267	0.026925824	0.026	6594.0	61.0	61.0	-0.073	0.099	0.099	NA	4.333	0.012369317	0.013341664	NA	2.301	0.193171469	0.193171469	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10666592	1.497	0.042	0.04	1.986	0.018	0.015	6350.0	80.0	80.0	0.203	0.072111026	0.072111026	NA	4.017	0.007	0.009	NA	5.754	0.304	0.322	NA	MS	F	NA	NA	NA	NA	NA	silva15	A	1
KIC10709834	1.39	0.04	0.03	1.76	0.03	0.02	6508.0	84.0	84.0	-0.08	0.09	0.09	NA	4.092	0.01	0.01	NA	5.709	0.462955304	0.462955304	NA	MS	F	NA	NA	NA	NA	NA	C14bruntt	A	1
KIC10717090	1.22	0.095	0.120880106	1.546	0.0585235	0.059363288	5817.0	74.0	74.0	0.238	0.1	0.1	NA	4.141	0.02236068	0.024166092	NA	2.651	0.221827032	0.221827032	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10727922	1.212	0.065855903	0.070007142	1.917	0.075643903	0.072917762	6319.0	66.0	66.0	-0.304	0.1	0.1	NA	3.954	0.023345235	0.02433105	NA	4.764	0.413800752	0.413800752	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10730618	1.368	0.056727418	0.055226805	1.777	0.024083189	0.024083189	6422.0	54.0	54.0	-0.006	0.1	0.1	NA	4.074	0.007211103	0.007211103	NA	4.894	0.397201754	0.397201754	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10731424	1.437	0.08232861	0.076380626	2.55	0.09749359	0.087817994	6432.0	65.0	65.0	-0.129	0.101	0.101	NA	3.782	0.018248288	0.019235384	NA	10.5	0.9424602	0.9424602	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10732098	1.121	0.055946403	0.060373835	1.778	0.051894123	0.050990195	5796.0	67.0	67.0	-0.01	0.1	0.1	NA	3.987	0.01456022	0.015524175	NA	3.341	0.28117105	0.28117105	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10794845	1.142	0.054644304	0.055470713	1.143	0.048052055	0.04414748	6398.0	55.0	55.0	-0.195	0.1	0.1	NA	4.378	0.029427878	0.032388269	NA	1.717	0.140750471	0.140750471	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
