ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
KIC2837475	1.54	0.03	0.03	1.66	0.03	0.02	6462.0	10.0	10.0	-0.006	0.0049	0.0049	APOGEE2_DR17	4.18	0.02	0.02	0.0	4.32891	0.16015	0.10707	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC3427720	1.11	0.03	0.03	1.11	0.01	0.02	6126.0	231.0	231.0	0.0274	0.005	0.005	APOGEE2_DR17	4.38	0.02	0.02	0.0	1.56332	0.25108	0.22968	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC3544595	0.88	0.02	0.02	0.91	0.01	0.01	5517.0	227.0	227.0	-0.1567	0.0064	0.0064	APOGEE2_DR17	4.47	0.01	0.01	0.0	0.69118	0.12193	0.10799	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC3733735	1.46	0.04	0.04	1.44	0.03	0.03	6617.0	56.0	56.0	-0.0171	0.0048	0.0048	APOGEE2_DR17	4.29	0.02	0.02	0.0	3.58149	0.19446	0.1901	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC3735871	1.06	0.04	0.04	1.08	0.01	0.03	5908.0	167.0	167.0	0.0476	0.0048	0.0048	APOGEE2_DR17	4.36	0.03	0.03	0.0	1.28028	0.15288	0.15546	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC4349452	1.25	0.02	0.02	1.32	0.01	0.01	6279.0	95.0	95.0	-0.06	0.005	0.005	LAMOST_DR11	4.28	0.01	0.01	0.0	2.44008	0.15555	0.14898	1.0	MS	F6	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC4914923	1.09	0.01	0.01	1.37	0.01	0.01	5832.0	153.0	153.0	0.117	0.011	0.011	LAMOST_DR11	4.28	0.21	0.21	0.0	1.95617	0.21541	0.19938	1.0	MS	G3	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC5866724	1.25	0.02	0.02	1.42	0.02	0.01	6150.0	107.0	107.0	0.136	0.006	0.006	LAMOST_DR11	4.23	0.01	0.01	0.0	2.59879	0.19974	0.17993	1.0	MS	F7	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC5955122	1.2	0.03	0.03	2.12	0.02	0.02	5900.0	128.0	128.0	-0.143	0.007	0.007	LAMOST_DR11	3.87	0.02	0.02	0.0	4.90653	0.44957	0.4223	1.0	MS	G2	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC6116048	1.0	0.01	0.01	1.22	0.02	0.02	5929.0	149.0	149.0	-0.1892	0.0062	0.0062	APOGEE2_DR17	4.27	0.01	0.01	0.0	1.65707	0.18142	0.16921	1.0	MS	NA	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC6603624	0.98	0.03	0.03	1.14	0.01	0.02	5855.0	140.0	140.0	0.278	0.011	0.011	LAMOST_DR11	4.33	0.01	0.01	0.0	1.37598	0.13854	0.13568	1.0	MS	G7	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC6933899	1.14	0.03	0.03	1.61	0.02	0.01	5960.0	114.0	114.0	0.0355	0.0052	0.0052	APOGEE2_DR17	4.09	0.01	0.01	0.0	2.94667	0.24342	0.22208	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC7103006	1.36	0.03	0.03	1.9	0.01	0.02	6310.0	77.0	77.0	0.1255	0.0043	0.0043	APOGEE2_DR17	4.03	0.02	0.02	0.0	5.15608	0.26203	0.26967	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC7106245	1.06	0.02	0.02	1.15	0.02	0.01	6116.0	144.0	144.0	-0.131	0.006	0.006	APOGEE2_DR17	4.34	0.01	0.01	0.0	1.66709	0.17284	0.15427	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC7206837	1.39	0.03	0.03	1.59	0.01	0.02	6320.0	73.0	73.0	0.195	0.024	0.024	LAMOST_DR11	4.18	0.02	0.02	0.0	3.63377	0.17687	0.18836	1.0	MS	F6	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC7747078	1.1	0.02	0.02	1.95	0.01	0.01	5941.0	141.0	141.0	-0.2134	0.0065	0.0065	APOGEE2_DR17	3.91	0.01	0.01	0.0	4.26778	0.4221	0.39339	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC7871531	0.8	0.04	0.04	0.87	0.01	0.02	5329.0	301.0	301.0	-0.4927	0.008	0.008	APOGEE2_DR17	4.46	0.02	0.02	0.0	0.54994	0.13578	0.11682	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC8228742	1.24	0.02	0.02	1.81	0.01	0.01	6174.0	85.0	85.0	-0.06	0.005	0.005	LAMOST_DR11	4.02	0.01	0.01	0.0	4.28863	0.24573	0.23612	1.0	MS	F8	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC8394589	1.01	0.03	0.03	1.16	0.01	0.02	6003.0	219.0	219.0	-0.302	0.005	0.005	LAMOST_DR11	4.31	0.02	0.02	0.0	1.57429	0.24414	0.22402	1.0	MS	F6	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC8524425	1.07	0.02	0.02	1.81	0.01	0.01	5661.0	167.0	167.0	0.1348	0.0049	0.0049	APOGEE2_DR17	3.95	0.01	0.01	0.0	3.03127	0.37534	0.3438	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC8694723	1.1	0.02	0.02	1.53	0.01	0.01	6155.0	89.0	89.0	-0.412	0.006	0.006	LAMOST_DR11	4.11	0.01	0.01	0.0	3.02684	0.18325	0.17579	1.0	MS	F5	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9025370	0.97	0.03	0.03	0.99	0.02	0.01	5972.0	315.0	315.0	0.0	0.01	0.01	LAMOST_DR11	4.43	0.01	0.01	0.0	1.12317	0.26045	0.22003	1.0	MS	G3	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9098294	0.97	0.03	0.03	1.14	0.02	0.02	5909.0	172.0	172.0	-0.173	0.018	0.018	LAMOST_DR11	4.31	0.01	0.01	0.0	1.42745	0.1808	0.16665	1.0	MS	G2	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9139151	1.16	0.03	0.03	1.15	0.01	0.02	6132.0	112.0	112.0	0.1253	0.0045	0.0045	APOGEE2_DR17	4.37	0.02	0.02	0.0	1.68461	0.12987	0.13309	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9139163	1.44	0.03	0.03	1.57	0.02	0.01	6383.0	41.0	41.0	0.1364	0.0042	0.0042	APOGEE2_DR17	4.19	0.01	0.01	0.0	3.68632	0.13446	0.10484	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9206432	1.34	0.03	0.03	1.5	0.02	0.02	6390.0	32.0	32.0	0.2235	0.0038	0.0038	APOGEE2_DR17	4.22	0.01	0.01	0.0	3.37972	0.11351	0.11194	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9410862	1.01	0.03	0.03	1.17	0.03	0.02	5953.0	146.0	146.0	-0.348	0.007	0.007	LAMOST_DR11	4.3	0.02	0.02	0.0	1.54885	0.17697	0.15557	1.0	MS	F7	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC9955598	0.82	0.03	0.03	0.87	0.01	0.02	5347.0	334.0	334.0	0.141	0.027	0.027	LAMOST_DR11	4.49	0.02	0.02	0.0	0.55741	0.15342	0.12927	1.0	MS	G7	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC10018963	1.23	0.02	0.02	1.96	0.01	0.01	6147.0	94.0	94.0	-0.2176	0.0062	0.0062	APOGEE2_DR17	3.94	0.01	0.01	0.0	4.94151	0.31337	0.29965	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC10355856	1.38	0.02	0.02	1.72	0.01	0.01	6428.0	22.0	22.0	-0.1102	0.0054	0.0054	APOGEE2_DR17	4.09	0.01	0.01	0.0	4.55046	0.08208	0.08139	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC10454113	1.16	0.02	0.02	1.25	0.02	0.01	6169.0	95.0	95.0	-0.0585	0.0059	0.0059	APOGEE2_DR17	4.31	0.01	0.01	0.0	2.0388	0.14437	0.12694	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC10644253	1.16	0.04	0.04	1.11	0.02	0.02	6162.0	152.0	152.0	0.1471	0.0045	0.0045	APOGEE2_DR17	4.42	0.02	0.02	0.0	1.6004	0.17388	0.16254	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC10920273	1.09	0.02	0.02	1.86	0.01	0.01	5808.0	281.0	281.0	-0.139	0.02	0.02	LAMOST_DR11	3.93	0.01	0.01	0.0	3.54672	0.73881	0.63929	1.0	MS	G3	NA	NA	NA	NA	NA	Yildiz19	A	3
KIC11026764	1.11	0.02	0.02	2.05	0.02	0.01	5822.0	161.0	161.0	0.0579	0.0052	0.0052	APOGEE2_DR17	3.86	0.01	0.01	0.0	4.35002	0.50871	0.46352	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC11081729	1.45	0.03	0.03	1.42	0.01	0.02	6674.0	16.0	16.0	-0.1275	0.0054	0.0054	APOGEE2_DR17	4.3	0.01	0.01	0.0	3.60426	0.06163	0.10653	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC11295426	1.02	0.02	0.02	1.23	0.01	0.01	5721.0	82.0	82.0	0.1034	0.0049	0.0049	APOGEE2_DR17	4.27	0.01	0.01	0.0	1.46013	0.08879	0.08527	1.0	MS	G	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC11772920	0.81	0.02	0.02	0.84	0.01	0.01	5426.0	290.0	290.0	-0.025	0.01	0.01	LAMOST_DR11	4.34	0.23	0.23	0.0	0.55103	0.12827	0.10947	1.0	MS	G8	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC11807274	1.21	0.02	0.02	1.59	0.01	0.01	6045.0	144.0	144.0	-0.111	0.007	0.007	LAMOST_DR11	4.13	0.01	0.01	0.0	3.0414	0.30276	0.2822	1.0	MS	F6	NA	NA	NA	NA	NA	Yildiz19	A	2
KIC12009504	1.11	0.03	0.03	1.38	0.01	0.01	6043.0	101.0	101.0	-0.0155	0.0051	0.0051	APOGEE2_DR17	4.21	0.01	0.01	0.0	2.28804	0.16033	0.15279	1.0	MS	F	NA	NA	NA	NA	NA	Yildiz19	A	2
HD146233	0.97	0.02	0.02	1.0	0.01	0.01	5786.0	200.0	200.0	0.0961	0.0064	0.0064	APOGEE2_DR17	4.44	0.01	0.01	0.0	1.00974	0.14841	0.13405	1.0	MS	NA	NA	NA	NA	NA	NA	Yildiz19	A	3
HD181420	1.42	0.02	0.02	1.62	0.01	0.01	6599.0	15.0	15.0	-0.0008	0.0051	0.0051	APOGEE2_DR17	4.17	0.01	0.01	0.0	4.48371	0.06897	0.06853	1.0	MS	NA	NA	NA	NA	NA	NA	Yildiz19	A	3
HIP32851	1.18	0.099	0.099	1.427	0.135	0.039	6628.0	89.0	89.0	-0.39	0.03	0.03	NA	4.19	0.06	0.06	0.0	3.538	0.011	0.011	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_bet_Vir	1.38	0.02	0.02	1.693	0.004	0.008	6093.0	13.0	13.0	0.13	0.01	0.01	NA	4.1	0.05	0.05	0.0	3.555	0.015	0.015	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_alf_Cen_B	0.905	0.011	0.011	0.859	0.005	0.004	5207.0	12.0	12.0	0.24	0.01	0.01	NA	4.53	0.05	0.05	0.0	0.488	0.002	0.002	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_alf_Cen_A	1.111	0.026	0.026	1.217	0.022	0.005	5804.0	13.0	13.0	0.2	0.01	0.01	NA	4.32	0.05	0.05	0.0	1.514	0.003	0.003	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_18_Sco	1.057	0.035	0.035	1.027	0.003	0.009	5824.0	30.0	30.0	0.03	0.01	0.01	NA	4.44	0.05	0.05	0.0	1.094	0.011	0.011	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_tau_Cet	0.766	0.013	0.013	0.806	0.012	0.004	5397.0	15.0	15.0	-0.51	0.01	0.01	NA	4.58	0.05	0.05	0.0	0.497	0.002	0.002	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_mu._Ara	0.931	0.059	0.059	1.28	0.007	0.025	5974.0	61.0	61.0	0.29	0.01	0.01	NA	4.25	0.06	0.06	0.0	1.879	0.019	0.019	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_mu._Her	1.081	0.016	0.016	1.686	2.419	0.007	5665.0	16.0	16.0	0.25	0.01	0.01	NA	4.02	0.01	0.01	0.0	2.635	0.02	0.02	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
HIP91949	1.094	0.065	0.065	0.964	0.013	0.017	5315.0	48.0	48.0	0.3	0.02	0.02	NA	4.47	0.01	0.01	0.0	0.668	0.001	0.001	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
HIP92984	0.499	0.031	0.031	0.988	0.027	0.02	6070.0	62.0	62.0	-0.04	0.03	0.03	NA	4.23	0.11	0.11	0.0	1.193	0.005	0.005	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3
HIP93427	1.255	0.079	0.079	1.285	0.139	0.027	6016.0	63.0	63.0	-0.05	0.02	0.02	NA	4.3	0.01	0.01	0.0	1.947	0.003	0.003	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_tet_Cyg	1.26	0.038	0.038	1.484	0.421	0.014	6914.0	33.0	33.0	-0.03	0.03	0.03	NA	4.24	0.03	0.03	0.0	4.531	0.018	0.018	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_16_Cyg_A	1.076	0.047	0.047	1.225	0.014	0.016	5849.0	39.0	39.0	0.08	0.01	0.01	NA	4.28	0.01	0.01	0.0	1.58	0.01	0.01	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
*_16_Cyg_B	1.028	0.043	0.043	1.113	0.034	0.014	5807.0	36.0	36.0	0.07	0.01	0.01	NA	4.35	0.01	0.01	0.0	1.267	0.002	0.002	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3
HIP97527	1.356	0.106	0.106	1.304	0.019	0.034	6236.0	81.0	81.0	-0.09	0.02	0.02	NA	4.33	0.01	0.01	0.0	2.315	0.006	0.006	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3
TV_Cet_A	1.385	0.052	0.052	1.484	0.01	0.02	6902.0	150.0	150.0	-0.122	0.005	0.005	LAMOST_DR11	4.237	0.02	0.02	0.0	4.50259	0.40892	0.39756	1.0	MS	F2V	25.15	0.25	0.059005964	True	True	Eker14+18	EB	2
TV_Cet_B	1.265	0.051	0.051	1.221	0.009	0.01	6575.0	150.0	150.0	-0.122	0.005	0.005	LAMOST_DR11	4.367	0.019	0.019	0.0	2.5102	0.23992	0.2251	1.0	MS	F5V	25.15	0.25	0.048548708	True	True	Eker14+18	EB	2
2MASS_J05282082+0338327_A	1.366	0.011	0.011	1.835	0.01	0.01	5103.0	26.0	26.0	0.025	0.275	0.275	LAMOST_DR11	4.047	0.006	0.006	0.0	2.05716	0.04786	0.04723	1.0	MS	K1V	NA	NA	NA	NA	NA	Eker14+18	EB	3
2MASS_J05282082+0338327_B	1.327	0.008	0.008	1.735	0.04	0.01	4751.0	26.0	26.0	0.025	0.275	0.275	LAMOST_DR11	4.083	0.006	0.006	0.0	1.38176	0.0713	0.03394	1.0	MS	K3V	NA	NA	NA	NA	NA	Eker14+18	EB	3
V2653_Oph_A	1.537	0.021	0.021	2.215	0.056	0.055	6950.0	480.0	480.0	-0.176	0.056	0.056	LAMOST_DR11	3.934	0.022	0.022	0.0	10.31291	3.20186	2.61659	1.0	MS	F2V	15.93110428	NA	0.139036187	True	True	Eker14+18	EB	3
V2653_Oph_B	1.273	0.019	0.019	2.0	0.035	0.056	6350.0	650.0	650.0	-0.176	0.056	0.056	LAMOST_DR11	3.941	0.025	0.025	0.0	5.85935	2.8009	2.08054	1.0	MS	F7V	15.93110428	NA	0.125540576	True	True	Eker14+18	EB	3
KIC7177553_A	1.043	0.014	0.014	0.94	0.005	0.005	5800.0	130.0	130.0	0.204	0.013	0.013	LAMOST_DR11	4.51	0.007	0.007	0.0	0.90087	0.08407	0.07868	1.0	MS	G2V	36.76	0.15	0.025571273	True	True	Eker14+18	EB	3
KIC7177553_B	0.986	0.015	0.015	0.941	0.03	0.005	5740.0	140.0	140.0	0.204	0.013	0.013	LAMOST_DR11	4.485	0.008	0.008	0.0	0.86601	0.10405	0.08196	1.0	MS	G2V	36.76	0.15	0.025598477	True	True	Eker14+18	EB	3
KIC3230227_A	1.84	0.18	0.18	2.01	0.08	0.09	8000.0	30.0	30.0	-0.135	0.005	0.005	LAMOST_DR11	4.097	0.058	0.058	0.0	14.90894	1.23111	1.32405	1.0	MS	A6	23.64	0.95	0.085025381	True	True	Eker14+18	EB	3
KIC3230227_B	1.73	0.17	0.17	1.68	0.01	0.08	8177.0	30.0	30.0	-0.135	0.005	0.005	LAMOST_DR11	4.226	0.059	0.059	0.0	11.36814	0.21579	1.06985	1.0	MS	A6	23.64	0.95	0.07106599	True	True	Eker14+18	EB	3
KIC10935310_B	0.376	0.017	0.017	0.3475	0.006	0.0081	3460.0	210.0	210.0	-0.281	0.029	0.029	LAMOST_DR11	4.932	0.028	0.028	0.0	0.01559	0.00418	0.00353	1.0	MS	M3V	11.03	0.21	0.031504986	True	True	Eker14+18	EB	3
V443_Cyg_A	1.2	0.2	0.2	1.3	0.2	0.2	6700.0	350.0	350.0	-0.213	0.025	0.025	LAMOST_DR11	4.29	0.152	0.152	0.0	3.06818	1.23046	1.05384	1.0	MS	F2/3V	9.4	0.33	0.138297872	True	True	Eker14+18	EB	3
V443_Cyg_B	1.1	0.3	0.3	1.1	0.03	0.2	6200.0	550.0	550.0	-0.213	0.025	0.025	LAMOST_DR11	4.397	0.197	0.197	0.0	1.61082	0.65829	0.7304	1.0	MS	F8V	9.4	0.33	0.117021277	True	True	Eker14+18	EB	3
47_Tuc-V69_A	0.876	0.005	0.005	1.316	0.005	0.005	5945.0	150.0	150.0	-0.71	0.1	0.1	NA	4.143	0.003	0.003	NA	1.941	0.217	0.217	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
47_Tuc-V69_B	0.859	0.006	0.006	1.163	0.006	0.006	5959.0	150.0	150.0	-0.71	0.1	0.1	NA	4.242	0.003	0.003	NA	1.531	0.171	0.171	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
AD_Boo_A	1.414	0.009	0.009	1.614	0.014	0.014	6575.0	120.0	120.0	0.1	0.15	0.15	NA	4.173	0.008	0.008	NA	4.375	0.356	0.356	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
AD_Boo_B	1.209	0.006	0.006	1.218	0.01	0.01	6145.0	120.0	120.0	0.1	0.15	0.15	NA	4.351	0.007	0.007	NA	1.901	0.164	0.164	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
alf_Cen_A	1.105	0.007	0.007	1.224	0.003	0.003	5824.0	26.0	26.0	0.24	0.04	0.04	NA	4.306	0.004	0.004	NA	1.549	0.029	0.029	NA	MS	G	NA	NA	NA	True	True	torres10	EB	1
alf_Cen_B	0.934	0.006	0.006	0.863	0.005	0.005	5223.0	62.0	62.0	0.24	0.04	0.04	NA	4.536	0.006	0.006	NA	0.498	0.025	0.025	NA	MS	G	NA	NA	NA	True	True	torres10	EB	1
BG_Ind_A	1.428	0.008	0.008	2.29	0.017	0.017	6353.0	270.0	270.0	-0.2	0.1	0.1	NA	3.865057243	0.006891794	0.006891794	NA	7.907	1.621	1.621	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
BG_Ind_B	1.293	0.008	0.008	1.68	0.038	0.039	6653.0	233.0	233.0	-0.2	0.1	0.1	NA	4.090979961	0.019829556	0.020341925	NA	5.117	0.881	0.881	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
BW_Aqr_A	1.479	0.02	0.02	2.057	0.04	0.04	6350.0	100.0	100.0	-0.07	0.11	0.11	NA	3.981	0.019	0.019	NA	6.18	0.488	0.488	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
BW_Aqr_B	1.377	0.02	0.02	1.788	0.04	0.04	6450.0	100.0	100.0	-0.07	0.11	0.11	NA	4.075	0.022	0.022	NA	4.966	0.417	0.417	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
CD_Tau_A	1.441	0.016	0.016	1.798	0.017	0.017	6200.0	50.0	50.0	0.08	0.15	0.15	NA	4.087	0.01	0.01	NA	4.285	0.171	0.171	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
CD_Tau_B	1.366	0.016	0.016	1.584	0.02	0.02	6200.0	50.0	50.0	0.08	0.15	0.15	NA	4.174	0.012	0.012	NA	3.327	0.141	0.141	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
CO_And_A	1.289	0.007	0.007	1.727	0.021	0.021	6140.0	130.0	130.0	0.01	0.15	0.15	NA	4.074	0.011	0.011	NA	3.802	0.367	0.367	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
CO_And_B	1.264	0.007	0.007	1.694	0.017	0.017	6170.0	130.0	130.0	0.01	0.15	0.15	NA	4.082	0.009	0.009	NA	3.733	0.351	0.351	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
EF_Aqr_A	1.244	0.008	0.008	1.338	0.012	0.012	6150.0	65.0	65.0	0.0	0.1	0.1	NA	4.28	0.007	0.007	NA	2.301	0.108	0.108	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
EF_Aqr_B	0.946	0.006	0.006	0.956	0.012	0.012	5185.0	110.0	110.0	0.0	0.1	0.1	NA	4.453	0.011	0.011	NA	0.593	0.057	0.057	NA	MS	K	NA	NA	NA	True	True	eker14	EB	1
EK_Cep_A	2.024	0.02	0.02	1.579	0.015	0.015	9000.0	200.0	200.0	0.07	0.05	0.05	NA	4.35	0.015	0.015	NA	14.689	1.454	1.454	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
EK_Cep_B	1.122	0.01	0.01	1.315	0.015	0.015	5700.0	190.0	190.0	0.07	0.05	0.05	NA	4.251	0.015	0.015	NA	1.641	0.256	0.256	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
EW_Ori_A	1.173	0.011	0.011	1.169	0.005	0.005	6070.0	95.0	95.0	0.05	0.09	0.09	NA	4.372	0.005	0.005	NA	1.667	0.111	0.111	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
EW_Ori_B	1.123	0.009	0.009	1.098	0.005	0.005	5900.0	95.0	95.0	0.05	0.09	0.09	NA	4.408	0.005	0.005	NA	1.312	0.091	0.091	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
GX_Gem_A	1.488	0.011	0.011	2.334	0.012	0.012	6194.0	100.0	100.0	-0.12	0.1	0.1	NA	3.887	0.004	0.004	NA	7.194	0.497	0.497	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
GX_Gem_B	1.467	0.01	0.01	2.244	0.012	0.012	6166.0	100.0	100.0	-0.12	0.1	0.1	NA	3.904	0.005	0.005	NA	6.531	0.467	0.467	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
HS_Aur_A	0.898	0.019	0.019	1.005	0.023	0.023	5350.0	70.0	70.0	-0.01	0.01	0.01	NA	4.39	0.02	0.02	NA	0.743	0.055	0.055	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
HS_Aur_B	0.877	0.017	0.017	0.874	0.03	0.03	5200.0	72.0	72.0	-0.01	0.01	0.01	NA	4.5	0.03	0.03	NA	0.501	0.048	0.048	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
HW_CMa_A	1.779	0.012	0.012	1.668	0.021	0.021	7700.0	150.0	150.0	0.28	0.1	0.1	NA	4.247	0.011	0.011	NA	8.79	0.782	0.782	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
HW_CMa_B	1.719	0.011	0.011	1.649	0.018	0.018	7560.0	150.0	150.0	0.33	0.1	0.1	NA	4.242	0.01	0.01	NA	7.98	0.71	0.71	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
IM_Vir_A	0.981	0.012	0.012	1.062	0.016	0.016	5570.0	100.0	100.0	-0.1	0.25	0.25	NA	4.379	0.014	0.014	NA	0.975	0.082	0.082	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
Kepler-34A	1.0479	0.0033	0.003	1.1618	0.0027	0.0031	5913.0	130.0	130.0	-0.07	0.15	0.15	NA	4.3284	0.0021	0.0021	NA	1.49	0.13	0.13	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1
Kepler-34B	1.0208	0.0022	0.0022	1.0927	0.0032	0.0027	5867.0	130.0	130.0	-0.07	0.15	0.15	NA	4.3703	0.0022	0.0022	NA	1.28	0.11	0.11	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1
Kepler-35A	0.8876	0.0051	0.0053	1.0284	0.002	0.0019	5606.0	150.0	150.0	-0.34	0.2	0.2	NA	4.3623	0.002	0.002	NA	0.94	0.1	0.1	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1
Kepler-35B	0.8094	0.0041	0.0044	0.7861	0.002	0.0022	5202.0	100.0	100.0	-0.34	0.2	0.2	NA	4.5556	0.0016	0.0016	NA	0.41	0.03	0.03	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1
KIC_6131659_A	0.922	0.007	0.007	0.88	0.003	0.003	5660.0	140.0	140.0	-0.21	0.1	0.1	NA	4.505765577	0.004431697	0.004431697	NA	0.713	0.078	0.078	NA	MS	G	NA	NA	NA	True	True	eker14	EB	1
KIC_6131659_B	0.685	0.005	0.005	0.64	0.006	0.006	4780.0	105.0	105.0	-0.21	0.1	0.1	NA	4.653330624	0.008738301	0.008738301	NA	0.192	0.019	0.019	NA	MS	K	NA	NA	NA	True	True	eker14	EB	1
LV_Her_A	1.192	0.01	0.01	1.358	0.012	0.012	6060.0	150.0	150.0	0.08	0.21	0.21	NA	4.249	0.008	0.008	NA	2.234	0.25	0.25	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
LV_Her_B	1.169	0.008	0.008	1.313	0.011	0.011	6030.0	150.0	150.0	0.08	0.21	0.21	NA	4.27	0.008	0.008	NA	2.046	0.229	0.229	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
RS_Cha_A	1.893	0.01	0.01	2.168	0.061	0.061	7638.0	76.0	76.0	0.17	0.07	0.07	NA	4.05	0.06	0.06	NA	14.355	1.062	1.062	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
RS_Cha_B	1.871	0.01	0.01	2.379	0.06	0.06	7228.0	72.0	72.0	0.17	0.07	0.07	NA	3.936	0.06	0.06	NA	13.868	0.958	0.958	NA	MS	F	NA	NA	NA	True	True	eker14	EB	1
SW_CMa_A	2.24	0.014	0.014	3.015	0.02	0.02	8200.0	150.0	150.0	0.49	0.15	0.15	NA	3.83	0.007	0.007	NA	36.898	3.005	3.005	NA	MS	A	NA	NA	NA	True	True	eker14	EB	1
