Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	FeH	eFeH1	eFeH2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode	logTeff	elogTeff1	elogTeff2	logL	elogL1	elogL2
148	SW_CMa A	2.24	0.014	0.014	3.015	0.02	0.02	8200	150	150	36.898	3.005	3.005	0.49	0.15	0.15	3.83	0.007	0.007	NA	NA	NA	2.4190162	MS	A	NA	eker14	0.625	0.66334991708126	1.82926829268293	8.14407284947693	EB	3.9138138523837167	0.007872623099885345	0.008017972015847974	1.567002826524815	0.03400272165485507	0.03689281490837537
149	SW_CMa B	2.105	0.018	0.018	2.496	0.042	0.042	8100	150	150	24.099	2.143	2.143	0.61	0.15	0.15	3.967	0.015	0.015	NA	NA	NA	2.4845662	MS	A	NA	eker14	0.855106888361045	1.68269230769231	1.85185185185185	8.89248516535956	EB	3.90848501887865	0.007968929671275049	0.008117890222179458	1.381999021683067	0.03699790947268111	0.040445799573489705
171	TZ_For A	1.945	0.03	0.03	3.974	0.09	0.09	6350	100	100	23.067	1.936	1.936	-0.05	0.05	0.05	3.532	0.02	0.02	NA	NA	NA	3.6316912	PMS	F	NA	eker14	1.54241645244216	2.26472068444892	1.5748031496063	8.3929422985217	EB	3.8027737252919755	0.006785989343291998	0.006893707947900118	1.3629911156235688	0.035001005259627016	0.038071065603650034
172	TZ_For B	2.045	0.06	0.06	8.349	0.12	0.12	5000	100	100	39.084	3.672	3.672	0.02	0.1	0.1	2.91	0.017	0.017	NA	NA	NA	4.5166162	PMS	K	NA	eker14	2.93398533007335	1.43729787998563	2.0	9.39514891003991	EB	3.6989700043360187	0.008600171761917519	0.008773924307504899	1.5919990046124979	0.038998063786142456	0.04284854906491353
183	UX_Men A	1.235	0.006	0.006	1.349	0.013	0.013	6200	100	100	2.415	0.173	0.173	0.04	0.1	0.1	4.272	0.003	0.003	NA	NA	NA	3.7300162	MS	F	NA	eker14	0.48582995951417	0.963676797627873	1.61290322580645	7.16356107660456	EB	3.792391689498254	0.006948859955327791	0.007061854487486752	0.38291713508753095	0.030047136909131855	0.0322815268285766
184	UX_Men B	1.196	0.007	0.007	1.275	0.013	0.013	6150	100	100	2.089	0.155	0.155	0.04	0.1	0.1	4.306	0.01	0.01	NA	NA	NA	3.7627912	MS	F	NA	eker14	0.585284280936455	1.01960784313726	1.6260162601626	7.41981809478219	EB	3.788875115775417	0.007004901568658628	0.007119741122947776	0.3199384399803086	0.03108441260381517	0.03348197023332572
191	V1130_Tau A	1.392	0.008	0.008	1.784	0.011	0.011	6625	70	70	5.508	0.26	0.26	-0.25	0.1	0.1	4.08	0.006	0.006	NA	NA	NA	3.4514287	MS	F	NA	eker14	0.574712643678161	0.616591928251121	1.05660377358491	4.72040668119099	EB	3.8211858826088454	0.004564698739182305	0.004613186582742124	0.740993931584886	0.020031320126486563	0.021000105217282128
192	V1130_Tau B	1.306	0.008	0.008	1.49	0.01	0.01	6650	70	70	3.899	0.184	0.184	-0.25	0.1	0.1	4.208	0.006	0.006	NA	NA	NA	3.4350412	MS	F	NA	eker14	0.612557427258806	0.671140939597315	1.05263157894737	4.71915875865607	EB	3.8228216453031045	0.004547627750720817	0.00459575168914883	0.5909532351879857	0.02002614473501141	0.020994417091391604
196	V1229_Tau A	2.221	0.027	0.027	1.844	0.037	0.037	10025	620	620	30.832	10.283	10.283	0.06	0.05	0.05	4.253	0.019	0.019	NA	NA	NA	1.2227287	MS	B	NA	eker14	1.21566861773976	2.00650759219089	6.18453865336658	33.3517125064868	EB	4.00108438129222	0.02606128448212175	0.02772558140582193	1.4890016973113778	0.12499859728380192	0.1762110051649357
197	V1229_Tau B	1.565	0.015	0.015	1.587	0.042	0.042	7262	380	380	6.295	1.74	1.74	0.06	0.05	0.05	4.231	0.024	0.024	NA	NA	NA	3.0338752	MS	F	NA	eker14	0.958466453674121	2.64650283553875	5.23271825943266	27.6409849086577	EB	3.8610562445768735	0.02215078877551635	0.023341576291961985	0.7989957344438814	0.10599014665548201	0.1405073531348644
223	V432_Aur A	1.204	0.006	0.006	2.429	0.023	0.023	6080	85	85	7.244	0.447	0.447	-0.6	0.05	0.05	3.748	0.008	0.008	NA	NA	NA	3.8086762	PMS	F	NA	torres10	0.498338870431894	0.946891724989708	1.39802631578947	6.17062396466041	EB	3.783903579272735	0.0060295016590155015	0.006114391837867661	0.8599784416420208	0.02600436971295228	0.027661171719759126
224	V432_Aur B	1.079	0.005	0.005	1.224	0.007	0.007	6685	85	85	2.685	0.146	0.146	-0.6	0.05	0.05	4.296	0.005	0.005	NA	NA	NA	3.4120987	MS	F	NA	torres10	0.46339202965709	0.571895424836601	1.2715033657442	5.43761638733706	EB	3.8251014115980033	0.005487257087140929	0.005557476056134547	0.42894429003557444	0.02299557932952856	0.02428158916185219
235	V505_Per A	1.272	0.001	0.001	1.288	0.014	0.014	6512	21	21	2.679	0.069	0.069	-0.12	0.03	0.03	4.32	0.01	0.01	NA	NA	NA	3.5255002	MS	F	NA	eker14	0.0786163522012579	1.08695652173913	0.322481572481572	2.57558790593505	EB	3.813714391881145	0.0013982663086675728	0.0014027827500209256	0.4279727136082088	0.011044014779303946	0.01133220626992787
236	V505_Per B	1.254	0.001	0.001	1.267	0.014	0.014	6462	12	12	2.512	0.059	0.059	-0.12	0.03	0.03	4.33	0.01	0.01	NA	NA	NA	3.5582752	MS	F	NA	eker14	0.0797448165869219	1.10497237569061	0.185701021355617	2.34872611464968	EB	3.8103669536816254	0.0008057413849287265	0.0008072390463578216	0.40001963506515853	0.010082441577702106	0.010322086858772839
238	V565_Lyr A	0.995	0.003	0.003	1.101	0.007	0.007	5600	95	95	1.072	0.079	0.079	0.28	0.05	0.05	4.352	0.005	0.005	NA	NA	NA	4.1233162	MS	G	NA	eker14	0.301507537688442	0.635785649409628	1.69642857142857	7.36940298507463	EB	3.7481880270062002	0.007305701408919063	0.007430703698429575	0.03019478535675124	0.03088053827304057	0.03324553686137002
239	V565_Lyr B	0.929	0.003	0.003	0.971	0.009	0.009	5430	125	125	0.736	0.077	0.077	0.28	0.05	0.05	4.432	0.008	0.008	NA	NA	NA	4.2347512	MS	G	NA	eker14	0.322927879440258	0.926879505664264	2.30202578268877	10.4619565217391	EB	3.734799829588847	0.009884233688039146	0.010114441351487535	-0.13312218566250114	0.043212731256569284	0.047992399743488984
