ID	component	M	eM	R	eR	Teff	eTeff	L	eL	logg	elogg	FeH	eFeH	logL	elogL1	elogL2	elogL	logTeff	elogTeff1	elogTeff2	elogTeff
2MASS J19271460+3900413	NA	0.85	0.03	0.76	0.03	5113.0	100.0	0.406	0.012	4.606	0.038	-0.01	0.1	-0.39147396642280585	0.012650248197841107	0.01302981175161999	0.012840029974730549	3.708675792726537	0.008411932200482308	0.008578088113483151	0.00849501015698273
2MASS J19272811+4624061	NA	0.871	0.023	1.155	0.022	5252.0	69.0	0.918	0.05	4.25	0.02	0.18	0.12	-0.03715731879875755	0.02303267610715125	0.024322956024750556	0.023677816065950902	3.7203247174174416	0.0056685415072808	0.0057435085779102835	0.005706025042595542
2MASS J19322278+3821405	NA	0.823	0.026	1.181	0.023	5427.0	78.0	1.096	0.062	4.206	0.021	-0.16	0.12	0.039810554148350386	0.023898005243067066	0.025290015390426673	0.02459401031674687	3.734559821579476	0.0061975017282946965	0.006287223684458887	0.006242362706376792
2MASS J19323327+4921468	NA	0.83	0.03	0.75	0.03	4961.0	98.0	0.265	0.005	4.607	0.038	0.06	0.12	-0.5767541260631921	0.008117890222179458	0.00827252596598993	0.008195208094084694	3.6955692270361857	0.008495452372381695	0.008664957468008438	0.008580204920195067
2MASS J19323327+4921468	NA	0.83	0.03	0.75	0.03	4961.0	98.0	0.265	0.005	4.607	0.038	0.06	0.12	-0.5767541260631921	0.008117890222179458	0.00827252596598993	0.008195208094084694	3.6955692270361857	0.008495452372381695	0.008664957468008438	0.008580204920195067
2MASS J19351820+4820396	NA	0.87	0.04	0.78	0.03	5084.0	104.0	0.338	0.006	4.593	0.039	0.09	0.12	-0.47108329972234525	0.007641742293875375	0.0077786165736184465	0.007710179433746911	3.7062055418819706	0.008794425530072036	0.008976199122253004	0.00888531232616252
2MASS J19351820+4820396	NA	0.87	0.04	0.78	0.03	5084.0	104.0	0.338	0.006	4.593	0.039	0.09	0.12	-0.47108329972234525	0.007641742293875375	0.0077786165736184465	0.007710179433746911	3.7062055418819706	0.008794425530072036	0.008976199122253004	0.00888531232616252
2MASS J19370697+4126128	A	0.9354	0.0037	0.8843	0.0012	5662.0	143.0	0.724	0.074	4.516	0.001	-0.23	0.2	-0.1402614338028531	0.0422643251535825	0.046825209554291314	0.04454476735393691	3.752969865029084	0.01083235904550861	0.011109470963820645	0.010970915004664628
2MASS J19370697+4126128	B	0.6997	0.0023	0.6518	0.002	4775.0	418.0	0.199	0.071	4.655	0.003	-0.23	0.2	-0.7011469235902933	0.13251068774928065	0.19164310676183838	0.16207689725555952	3.678973375919765	0.03644494667529097	0.03978581598401121	0.03811538132965109
2MASS J19372081+4953518	NA	0.74	0.03	0.68	0.02	4411.0	80.0	0.134	0.002	4.642	0.031	0.24	0.11	-0.8728952016351923	0.006434110005409832	0.006530867158957787	0.00648248858218381	3.6445370577784075	0.00780599728430742	0.007948874048565369	0.007877435666436394
2MASS J19372081+4953518	NA	0.74	0.03	0.68	0.02	4411.0	80.0	0.134	0.002	4.642	0.031	0.24	0.11	-0.8728952016351923	0.006434110005409832	0.006530867158957787	0.00648248858218381	3.6445370577784075	0.00780599728430742	0.007948874048565369	0.007877435666436394
2MASS J19375927+4641231	A	0.8878	0.0051	1.0285	0.0019	5610.0	142.0	0.944	0.096	4.3623	0.002	-0.34	0.2	-0.02502800570193105	0.04206134500071142	0.04657614204135514	0.04431874352103328	3.7489628612561616	0.010856016118664602	0.01113435536037688	0.01099518573952074
2MASS J19375927+4641231	B	0.8095	0.0045	0.7861	0.0022	5200.0	96.0	0.407	0.03	4.5556	0.0016	-0.34	0.2	-0.39040559077478	0.030887027745201745	0.033253059019427156	0.03207004338231445	3.716003343634799	0.00794463279684443	0.008092677921692992	0.008018655359268712
2MASS J19383500+3857475	NA	0.9	0.03	0.82	0.03	5056.0	114.0	1.037	0.064	4.565	0.035	0.09	0.12	0.01577875638904093	0.026008562582710837	0.02766591612068908	0.02683723935169996	3.7038070652743285	0.009683477819613984	0.009904324208267923	0.009793901013940953
2MASS J19383500+3857475	NA	0.9	0.03	0.82	0.03	5056.0	114.0	1.037	0.064	4.565	0.035	0.09	0.12	0.01577875638904093	0.026008562582710837	0.02766591612068908	0.02683723935169996	3.7038070652743285	0.009683477819613984	0.009904324208267923	0.009793901013940953
2MASS J19401065+3955073	NA	0.67	0.03	0.65	0.03	4267.0	87.0	0.151	0.003	4.638	0.045	0.05	0.11	-0.8210230527068306	0.00854377354329372	0.008715231898211995	0.008629502720752857	3.630122642859312	0.008765781845763598	0.008946361084277044	0.008856071465020321
2MASS J19411149+4655136	A	0.957	0.014	0.9361	0.005	5636.0	104.0	0.797	0.059	4.476	0.005	-0.25	0.08	-0.09854167860388763	0.031015443281040903	0.03340195957307082	0.03220870142705586	3.750970984437319	0.00794090796065472	0.008088813000045825	0.008014860480350272
2MASS J19411149+4655136	B	0.342	0.003	0.338	0.002	3357.0	100.0	0.014	0.002	4.914	0.005	-0.25	0.08	-1.853871964321762	0.05799194697768684	0.06694678963061307	0.06246936830414995	3.5259513412480126	0.012748038294394082	0.013133582683139355	0.012940810488766719
2MASS J19415919+4232163	NA	0.905	0.038	0.836	0.017	5237.0	60.0	0.474	0.029	4.55	0.015	0.14	0.12	-0.324221658325915	0.025789643381842364	0.02741833069315347	0.026603987037497917	3.719082573901486	0.004947399034111566	0.0050044089196301655	0.004975903976870866
2MASS J19454459+4438296	A	1.0479	0.0031	1.1617	0.0029	5916.0	123.0	1.49	0.11	4.3284	0.0021	-0.07	0.15	0.17318626841227402	0.030933714243650767	0.03330718201103755	0.03212044812734416	3.772028165324855	0.008936864283461965	0.009124636825797783	0.009030750554629874
2MASS J19454459+4438296	B	1.0207	0.0021	1.0927	0.003	5861.0	135.0	1.28	0.11	4.3703	0.0022	-0.07	0.15	0.10720996964786837	0.03580483060622676	0.03902410790170675	0.037414469253966756	3.767971721381619	0.009889902794622873	0.010120377696039018	0.010005140245330946
2MASS J19480169+4134178	NA	0.86	0.04	0.77	0.03	5119.0	111.0	0.338	0.008	4.6	0.039	0.04	0.12	-0.47108329972234525	0.010159398515121876	0.01040276039976723	0.010281079457444553	3.7091851295502454	0.009316559317028794	0.009520809347872028	0.009418684332450411
2MASS J19480169+4134178	NA	0.86	0.04	0.77	0.03	5119.0	111.0	0.338	0.008	4.6	0.039	0.04	0.12	-0.47108329972234525	0.010159398515121876	0.01040276039976723	0.010281079457444553	3.7091851295502454	0.009316559317028794	0.009520809347872028	0.009418684332450411
2MASS J19495420+4106514	B	0.2352	0.0006	0.2545	0.0008	3236.0	37.0	0.0064	0.00029	4.998	0.003	0.15	0.08	-2.193820026016113	0.019246143783936187	0.020138763741333054	0.01969245376263462	3.5100085129402347	0.004937492367769636	0.004994272856127857	0.0049658826119487465
2MASS J19495420+4106514	C	0.2073	0.0006	0.2315	0.0007	3170.0	36.0	0.00488	0.00022	5.026	0.003	0.15	0.08	-2.3115801779972895	0.019150354095225808	0.02003390531271032	0.019592129703968064	3.5010592622177517	0.004904255800374457	0.004960270085180518	0.004932262942777488
2MASS J19523602+4039222	B	0.9678	0.004	0.9663	0.0058	5768.0	120.0	0.931	0.078	4.4534	0.004	-0.14	0.05	-0.031050319018657353	0.03494148525556793	0.03800064981381957	0.03647106753469375	3.7610252517113727	0.00894254961806995	0.009130563667625324	0.009036556642847637
2MASS J19534877+4517502	NA	0.842	0.023	1.049	0.025	5261.0	70.0	0.762	0.061	4.319	0.023	0.07	0.12	-0.1180450286603995	0.03344486387266932	0.03623695337294182	0.03484090862280557	3.721068301797159	0.005740380727804695	0.0058172729183096905	0.005778826823057193
2MASS J19545035+4649589	B	1.003	0.0085	1.1089	0.0051	6223.0	129.0	1.66	0.14	4.3493	0.0054	-0.35	0.1	0.22010808804005508	0.035164417063250936	0.03826450009528254	0.03671445857926674	3.7939998009844706	0.008910688434569103	0.009097351097815842	0.009004019766192473
2MASS J19580928+4539316	NA	0.74	0.03	0.71	0.03	4718.0	110.0	0.25	0.009	4.605	0.041	-0.05	0.12	-0.6020599913279624	0.015359755409214193	0.015922966097169255	0.015641360753191724	3.6737579365495767	0.010009324875734915	0.010245466134421122	0.010127395505078018
2MASS J19580928+4539316	NA	0.74	0.03	0.71	0.03	4718.0	110.0	0.25	0.009	4.605	0.041	-0.05	0.12	-0.6020599913279624	0.015359755409214193	0.015922966097169255	0.015641360753191724	3.6737579365495767	0.010009324875734915	0.010245466134421122	0.010127395505078018
2MASSI J0850498+194836	A	0.3953	0.002	0.363	0.008	3258.0	90.0	0.0137	0.001	4.915	0.019	0.01	0.04	-1.8632794328435933	0.030596767591769547	0.03291684620044988	0.03175680689610971	3.5129510799724906	0.011834369348731943	0.01216590705503462	0.012000138201883281
2MASSI J0850498+194836	B	0.2098	0.0014	0.272	0.012	3119.0	108.0	0.005	0.0015	4.891	0.039	0.01	0.04	-2.3010299956639813	0.11394335230683694	0.15490195998574308	0.13442265614629	3.4940153747571436	0.014783590646761269	0.015304619244384199	0.015044104945572734
Cl* Melotte   22     AK   II-465	A	1.09	0.01	1.25	0.01	5957.0	123.0	1.76	0.11	4.286	0.021	0.0	0.05	0.24551266781414982	0.02632893872234915	0.028028723600243555	0.027178831161296352	3.7750276000988445	0.008875979173890602	0.009061175313130665	0.008968577243510634
