,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
34,34,3.744832495608905,2026-06-04 16:33:36.012232,2026-06-04 16:33:47.190875,0 days 00:00:11.178643,0.013999802283475683,9,1,869,0.008958512350745206,0.08463696177889168,0.6692407482328934,COMPLETE
35,35,3.727863374902573,2026-06-04 16:33:47.195580,2026-06-04 16:34:03.332887,0 days 00:00:16.137307,0.014936908993714137,9,1,901,0.004441904993300292,0.0693596028500482,0.6903030654797645,COMPLETE
36,36,3.738365812481971,2026-06-04 16:34:03.336272,2026-06-04 16:34:13.592288,0 days 00:00:10.256016,0.018674449251290137,8,2,788,0.009262363096303506,0.25877960675557465,0.5206098452109218,COMPLETE
37,37,3.7389446959767456,2026-06-04 16:34:13.595580,2026-06-04 16:34:18.125370,0 days 00:00:04.529790,0.022640407078241147,6,1,921,0.00149675687301207,0.4040400077415586,0.5036129551124704,COMPLETE
38,38,3.7648706342041813,2026-06-04 16:34:18.127950,2026-06-04 16:34:20.311320,0 days 00:00:02.183370,0.011510955502382932,4,1,837,0.00307812048241687,0.5469454156788446,0.5534845351067412,COMPLETE
39,39,3.8310582244830895,2026-06-04 16:34:20.313904,2026-06-04 16:34:23.929009,0 days 00:00:03.615105,0.04412643233207468,6,1,781,0.0013741799818935275,3.541925316755605,0.605801686344807,COMPLETE
40,40,3.6839425641745516,2026-06-04 16:34:23.931789,2026-06-04 16:34:30.197529,0 days 00:00:06.265740,0.04298515184851231,8,1,987,0.0019134313085756407,0.1305522116960558,0.5574501471593156,COMPLETE
41,41,3.708388668156543,2026-06-04 16:34:30.200178,2026-06-04 16:34:34.586808,0 days 00:00:04.386630,0.014260302345511516,6,2,992,0.03621074582674606,0.45543547904992165,0.5074422264079324,COMPLETE
42,42,4.0101622688107925,2026-06-04 16:34:34.589426,2026-06-04 16:34:37.352974,0 days 00:00:02.763548,0.011904120823096722,5,3,893,0.171120332833944,2.3317566888666748,0.5358184387896505,COMPLETE
43,43,3.817479273138219,2026-06-04 16:34:37.355513,2026-06-04 16:34:43.070227,0 days 00:00:05.714714,0.02652373211365971,6,3,859,0.016128042020492048,0.06412274976086928,0.5121960044734214,COMPLETE
44,44,3.706353091002561,2026-06-04 16:34:43.073467,2026-06-04 16:34:53.052379,0 days 00:00:09.978912,0.018171991693927896,8,1,750,0.03674613188596848,0.8527265393232009,0.5207637425872236,COMPLETE
45,45,3.749077356379929,2026-06-04 16:34:53.055129,2026-06-04 16:34:57.307772,0 days 00:00:04.252643,0.06613563083795351,8,1,836,0.0011792714698220564,0.0681488125376754,0.5456914364391007,COMPLETE
46,46,3.791364935598092,2026-06-04 16:34:57.310977,2026-06-04 16:35:04.980563,0 days 00:00:07.669586,0.016163366370518236,8,2,681,0.07306223217193664,0.7320613276522254,0.5912343258370872,COMPLETE
47,47,3.7359614532535113,2026-06-04 16:35:04.983414,2026-06-04 16:35:13.309483,0 days 00:00:08.326069,0.031108643191053935,9,1,912,0.020731331282122786,0.7531423475332955,0.5477263961532174,COMPLETE
48,48,3.776882370483915,2026-06-04 16:35:13.312731,2026-06-04 16:35:18.734194,0 days 00:00:05.421463,0.03396021399365731,9,1,936,0.04458466756844058,1.0597494790686224,0.5544849700372203,COMPLETE
49,49,3.8115709651501297,2026-06-04 16:35:18.736990,2026-06-04 16:35:21.975246,0 days 00:00:03.238256,0.07132041336264336,6,1,859,0.04182379707397614,0.9704220787100034,0.5109213176437993,COMPLETE
50,50,3.8389992575008867,2026-06-04 16:35:21.977755,2026-06-04 16:35:26.785091,0 days 00:00:04.807336,0.02310169082626971,7,1,985,0.07539627081573116,3.686264093141598,0.5041222951582852,COMPLETE
51,51,3.8530477602775846,2026-06-04 16:35:26.788191,2026-06-04 16:35:31.463698,0 days 00:00:04.675507,0.03170039606107577,9,3,883,0.004544422705226518,2.573222202553783,0.576318104593805,COMPLETE
